time,frequency,confidence
 0.0000000,169.2392083, 0.6024985
 0.0100106,168.0438090, 0.6116157
 0.0200212,165.2822165, 0.7388957
 0.0300317,164.0374543, 0.7055572
 0.0400423,163.3222532, 0.6839020
 0.0500529,161.2485394, 0.6645189
 0.0600635,162.0036041, 0.7594118
 0.0700741,164.1698900, 0.7844245
 0.0800847,166.1504599, 0.8017355
 0.0900952,167.2518337, 0.7821295
 0.1001058,165.4363699, 0.7934806
 0.1101164,164.8840916, 0.7358406
 0.1201270,163.9935547, 0.7088566
 0.1301376,163.2872597, 0.5881886
 0.1401481,163.6999984, 0.6239603
 0.1501587,164.7124526, 0.6578168
 0.1601693,165.8743482, 0.7691916
 0.1701799,167.3752825, 0.8232915
 0.1801905,166.4902834, 0.8093367
 0.1902011,165.2889761, 0.7523105
 0.2002116,164.8285660, 0.7291325
 0.2102222,163.3455334, 0.7221728
 0.2202328,163.9672177, 0.6856548
 0.2302434,166.2812474, 0.6013404
 0.2402540,167.0976637, 0.6927336
 0.2502646,168.0542561, 0.7262958
 0.2602751,166.7508520, 0.7528969
 0.2702857,165.4103781, 0.7479089
 0.2802963,164.3904143, 0.7027428
 0.2903069,164.3329560, 0.6121647
 0.3003175,164.3492395, 0.6014760
 0.3103280,165.7728775, 0.6532128
 0.3203386,166.7996876, 0.7095011
 0.3303492,166.5978341, 0.7504249
 0.3403598,164.6070469, 0.7725307
 0.3503704,162.5915708, 0.6966069
 0.3603810,163.6655706, 0.6867185
 0.3703915,163.4399826, 0.6976946
 0.3804021,163.4664776, 0.6912711
 0.3904127,164.0915746, 0.5881151
 0.4004233,165.8107737, 0.5589836
 0.4104339,168.3476312, 0.6696996
 0.4204444,167.4851360, 0.7240760
 0.4304550,166.4954981, 0.6573724
 0.4404656,164.8558568, 0.5984973
 0.4504762,162.9453541, 0.5652952
 0.4604868,163.8493933, 0.5996194
 0.4704974,165.4316786, 0.5903317
 0.4805079,166.8074593, 0.6736924
 0.4905185,167.3841796, 0.7571346
 0.5005291,167.0629565, 0.8139476
 0.5105397,165.5859845, 0.7176355
 0.5205503,165.6780478, 0.7015432
 0.5305608,164.4904571, 0.6204530
 0.5405714,164.0851921, 0.6592916
 0.5505820,165.1607749, 0.6163760
 0.5605926,167.2723952, 0.6588133
 0.5706032,167.3801232, 0.7344524
 0.5806138,166.6729363, 0.7352166
 0.5906243,164.5581538, 0.7153643
