time,frequency,confidence
 0.0000000,45.8029995, 0.0322156
 0.0100106,45.4703029, 0.0141418
 0.0200212,45.6649556, 0.0319097
 0.0300317,45.5354938, 0.1343515
 0.0400423,45.9620532, 0.1523300
 0.0500529,48.8557647, 0.0419170
 0.0600635,54.8977349, 0.0096988
 0.0700741,52.8962418, 0.0119287
 0.0800847,50.0119694, 0.0382446
 0.0900952,49.2918572, 0.1170127
 0.1001058,49.9121734, 0.3579461
 0.1101164,49.8663841, 0.2904416
 0.1201270,48.6975990, 0.1017716
 0.1301376,44.5278967, 0.0257869
 0.1401481,43.7215767, 0.0220143
 0.1501587,45.3465220, 0.0387966
 0.1601693,47.9046252, 0.0353393
 0.1701799,49.2668865, 0.0409897
 0.1801905,50.7034471, 0.0538130
 0.1902011,53.3131690, 0.0470175
 0.2002116,53.5793028, 0.1244554
 0.2102222,49.0287525, 0.0434963
 0.2202328,48.5928246, 0.2722090
 0.2302434,49.1090979, 0.0842349
 0.2402540,49.9304094, 0.1496796
 0.2502646,50.7835091, 0.0692047
 0.2602751,51.1341949, 0.0947684
 0.2702857,51.4886666, 0.0585336
 0.2802963,50.6168091, 0.0180581
 0.2903069,49.3114822, 0.0234680
 0.3003175,48.5296795, 0.0604512
 0.3103280,49.9521192, 0.0694075
 0.3203386,52.1383851, 0.0944157
 0.3303492,51.8534122, 0.3226311
 0.3403598,50.0463893, 0.1238759
 0.3503704,49.0579903, 0.5416106
 0.3603810,48.9052900, 0.7711820
 0.3703915,48.7535238, 0.3383163
 0.3804021,49.6896817, 0.0441438
 0.3904127,51.2905536, 0.0453974
 0.4004233,55.1554702, 0.0176782
 0.4104339,56.6463772, 0.0135653
 0.4204444,52.1717665, 0.0177154
 0.4304550,48.7459039, 0.0229239
 0.4404656,48.8882653, 0.1753642
 0.4504762,49.2786185, 0.2369103
 0.4604868,53.9593321, 0.1658115
 0.4704974,54.2031825, 0.3024579
 0.4805079,54.5064273, 0.1077500
 0.4905185,55.8085208, 0.0468026
 0.5005291,56.2586321, 0.0108138
 0.5105397,56.0611833, 0.1033123
 0.5205503,55.9663208, 0.1911373
 0.5305608,56.3947009, 0.1058350
 0.5405714,60.6298988, 0.0337564
 0.5505820,68.4131413, 0.0104915
 0.5605926,74.8285744, 0.0279423
 0.5706032,81.9605327, 0.1025352
 0.5806138,90.2894033, 0.0500183
 0.5906243,99.2879341, 0.0642602
 0.6006349,105.7807300, 0.2538555
 0.6106455,121.2989234, 0.7286537
 0.6206561,130.2203191, 0.0429889
 0.6306667,140.8807858, 0.0079892
 0.6406772,153.6786600, 0.0093493
 0.6506878,178.1922858, 0.0166909
 0.6606984,198.6199125, 0.0667980
 0.6707090,219.6858259, 0.3174076
 0.6807196,248.9734199, 0.3095499
 0.6907302,263.8283710, 0.3341720
 0.7007407,304.0228645, 0.0549248
 0.7107513,328.4469112, 0.0794118
 0.7207619,330.5324730, 0.1312977
 0.7307725,330.2047492, 0.0477073
 0.7407831,330.4500324, 0.0773340
 0.7507937,331.2565142, 0.4198588
 0.7608042,328.2777132, 0.5904453
 0.7708148,328.6092876, 0.7863160
 0.7808254,328.8131184, 0.8679541
 0.7908360,329.2324835, 0.9068912
 0.8008466,329.8967502, 0.8634415
 0.8108571,331.3342215, 0.5428723
 0.8208677,368.4217280, 0.3747232
 0.8308783,369.8685563, 0.6039489
 0.8408889,369.2759903, 0.6877441
 0.8508995,369.1821215, 0.7002859
 0.8609101,369.6443961, 0.5942126
 0.8709206,374.3209562, 0.4120903
 0.8809312,384.9265568, 0.4625259
 0.8909418,384.9140409, 0.4614747
 0.9009524,390.1247076, 0.4538566
 0.9109630,393.1233028, 0.7459891
 0.9209735,394.5705306, 0.8988229
 0.9309841,394.5621831, 0.9430054
 0.9409947,394.5715457, 0.9512133
 0.9510053,394.6908018, 0.9556715
 0.9610159,394.8657589, 0.9572592
 0.9710265,395.4022263, 0.9518101
 0.9810370,395.2802931, 0.9498838
 0.9910476,395.0717700, 0.9226506
 1.0010582,396.2955146, 0.8237626
 1.0110688,400.5301091, 0.3817114
 1.0210794,442.1354596, 0.8973227
 1.0310899,439.6108611, 0.9425970
 1.0411005,439.6671878, 0.9527897
 1.0511111,438.5559572, 0.8852199
 1.0611217,437.1339764, 0.7122557
 1.0711323,437.2416174, 0.3697315
 1.0811429,439.0764374, 0.3886115
 1.0911534,441.6647748, 0.3257687
 1.1011640,442.2121137, 0.5564356
 1.1111746,442.1043169, 0.7216804
 1.1211852,438.5678374, 0.7941293
 1.1311958,438.4122256, 0.8661370
 1.1412063,438.3798734, 0.8671626
 1.1512169,438.1289694, 0.8696999
 1.1612275,438.0666202, 0.8831664
 1.1712381,438.1570786, 0.9126177
 1.1812487,438.3346720, 0.8284226
 1.1912593,403.9936375, 0.7919232
 1.2012698,341.5818661, 0.8466288
 1.2112804,310.7152926, 0.8530046
 1.2212910,281.9853817, 0.8734530
 1.2313016,242.3072063, 0.8986800
 1.2413122,219.6226015, 0.8945858
 1.2513228,219.6452587, 0.9025591
 1.2613333,219.4306230, 0.8832173
 1.2713439,219.1347353, 0.9074737
 1.2813545,219.2777827, 0.9065936
 1.2913651,219.7477205, 0.9140134
 1.3013757,219.8712535, 0.9259033
 1.3113862,219.8276790, 0.9189626
 1.3213968,219.9074629, 0.9255238
 1.3314074,219.7590254, 0.9156181
 1.3414180,219.4607324, 0.8772555
 1.3514286,218.9402729, 0.8669368
 1.3614392,219.1236042, 0.8642008
 1.3714497,219.6049650, 0.8430465
 1.3814603,219.6624819, 0.8231122
 1.3914709,219.5967700, 0.8566530
 1.4014815,219.9229431, 0.8477762
 1.4114921,219.9056605, 0.7297674
 1.4215026,219.7293554, 0.7208776
 1.4315132,219.1711076, 0.6918663
 1.4415238,219.1104749, 0.6894855
 1.4515344,218.8215829, 0.7344310
 1.4615450,218.5701709, 0.8072845
 1.4715556,218.1993105, 0.8213668
 1.4815661,218.2705249, 0.8194394
 1.4915767,219.3442154, 0.8158879
 1.5015873,219.7942273, 0.8559719
 1.5115979,219.9460823, 0.8779528
 1.5216085,219.8674127, 0.8652197
 1.5316190,219.6850529, 0.7924113
 1.5416296,219.6331631, 0.7294014
 1.5516402,219.2998363, 0.6180582
 1.5616508,219.5853560, 0.6732398
 1.5716614,220.5570319, 0.6599686
 1.5816720,220.9977020, 0.8363201
 1.5916825,220.5366246, 0.8997974
 1.6016931,219.2686787, 0.8773374
 1.6117037,219.2032449, 0.9040536
 1.6217143,219.3244152, 0.8819270
 1.6317249,219.6140574, 0.8695239
 1.6417354,220.5385010, 0.8839350
 1.6517460,221.3176579, 0.8600529
 1.6617566,221.1562730, 0.8711193
 1.6717672,220.5347480, 0.8594449
 1.6817778,219.7415954, 0.8372609
 1.6917884,219.3561256, 0.8364275
 1.7017989,219.0963302, 0.8631350
 1.7118095,218.8969816, 0.8552881
 1.7218201,218.8291004, 0.8497101
