time,frequency,confidence
 0.0000000,351.5524400, 0.0090870
 0.0100106,354.7677371, 0.0268661
 0.0200212,353.7681066, 0.5671372
 0.0300317,355.1864161, 0.6187899
 0.0400423,354.1365864, 0.6689367
 0.0500529,351.1228881, 0.3170359
 0.0600635,347.8622085, 0.4716617
 0.0700741,345.2751146, 0.4772579
 0.0800847,347.5787605, 0.6400062
 0.0900952,348.1301982, 0.6722137
 0.1001058,348.1200430, 0.6722526
 0.1101164,350.5690217, 0.4008711
 0.1201270,349.3127626, 0.2813515
 0.1301376,346.8673443, 0.3833329
 0.1401481,346.0101081, 0.4259365
 0.1501587,346.7896785, 0.0869688
 0.1601693,345.9594295, 0.2116458
 0.1701799,350.6364847, 0.3892987
 0.1801905,349.1914281, 0.7930264
 0.1902011,347.0280998, 0.7185613
 0.2002116,347.8919304, 0.8030726
 0.2102222,347.5777123, 0.6719138
 0.2202328,348.0822401, 0.5350170
 0.2302434,347.5974845, 0.7029913
 0.2402540,346.7465161, 0.5591061
 0.2502646,346.1210708, 0.8256977
 0.2602751,348.4838569, 0.7977983
 0.2702857,349.4837792, 0.8257864
 0.2802963,349.6195603, 0.6408955
 0.2903069,346.3346296, 0.3119393
 0.3003175,345.8786822, 0.3348933
 0.3103280,349.9174782, 0.1877222
 0.3203386,354.2279038, 0.1731816
 0.3303492,350.3398230, 0.4316034
 0.3403598,348.9994633, 0.4708345
 0.3503704,345.8198450, 0.4026754
 0.3603810,346.2210130, 0.5976975
 0.3703915,345.6267310, 0.6583676
 0.3804021,347.1589703, 0.6436036
 0.3904127,346.0269680, 0.6739423
 0.4004233,347.7058089, 0.6074472
 0.4104339,347.1602786, 0.4840595
 0.4204444,347.0052203, 0.3751223
 0.4304550,345.3035111, 0.3770313
 0.4404656,345.6270633, 0.2922941
 0.4504762,346.3524666, 0.0667258
 0.4604868,344.9985072, 0.0801072
 0.4704974,346.5930629, 0.4147798
 0.4805079,346.8090124, 0.4560269
 0.4905185,346.6727482, 0.5937511
 0.5005291,347.1184830, 0.6667296
 0.5105397,345.6939132, 0.6936373
 0.5205503,345.5173824, 0.5978495
 0.5305608,346.2422323, 0.6839408
 0.5405714,348.8812478, 0.5469832
 0.5505820,350.4311935, 0.5527441
 0.5605926,351.9789259, 0.5049411
 0.5706032,351.5382659, 0.3369841
 0.5806138,352.9790209, 0.2114625
 0.5906243,354.7063830, 0.2962835
 0.6006349,355.3908487, 0.5473021
 0.6106455,351.0007418, 0.3285731
 0.6206561,346.7988227, 0.3641358
 0.6306667,347.2057854, 0.4465993
 0.6406772,348.4118271, 0.7225882
 0.6506878,348.1978944, 0.7994202
 0.6606984,348.8110825, 0.8414518
 0.6707090,348.2048304, 0.7907938
 0.6807196,348.6376754, 0.8361043
 0.6907302,347.5969952, 0.7609131
 0.7007407,346.9730122, 0.1358260
 0.7107513,341.7751292, 0.0230980
 0.7207619,334.5677074, 0.0282662
 0.7307725,330.1846999, 0.0532631
 0.7407831,326.2022735, 0.0275370
 0.7507937,330.2312801, 0.0994191
 0.7608042,334.5547471, 0.0965401
 0.7708148,357.1103521, 0.2676828
 0.7808254,407.9116386, 0.2295852
 0.7908360,440.4811251, 0.4560856
 0.8008466,439.4158905, 0.6433280
 0.8108571,440.2963664, 0.8389180
 0.8208677,440.4796210, 0.8812288
 0.8308783,441.1916883, 0.9269909
 0.8408889,440.3808109, 0.9302323
 0.8508995,439.7006398, 0.9344409
 0.8609101,439.5053919, 0.9279760
 0.8709206,439.8590884, 0.9364459
 0.8809312,440.9139494, 0.9566622
 0.8909418,442.3916368, 0.9360254
 0.9009524,444.8237873, 0.8397911
 0.9109630,447.1984971, 0.5517812
 0.9209735,447.3672867, 0.0825876
 0.9309841,413.0916124, 0.0557100
 0.9409947,397.0775716, 0.0107860
 0.9510053,392.7895000, 0.0125620
 0.9610159,390.6740893, 0.2139152
 0.9710265,417.7909367, 0.0754854
 0.9810370,438.8355577, 0.2955661
 0.9910476,440.7337342, 0.5882182
 1.0010582,441.8766225, 0.8723946
 1.0110688,440.8482779, 0.9442376
 1.0210794,439.4598006, 0.9460202
 1.0310899,439.5815967, 0.9585642
 1.0411005,439.7948020, 0.9636310
 1.0511111,439.6926457, 0.9630474
 1.0611217,439.6570978, 0.9633715
 1.0711323,439.4749813, 0.9583632
 1.0811429,439.6646074, 0.9357514
 1.0911534,440.3989898, 0.8957130
 1.1011640,440.0000699, 0.8905994
 1.1111746,439.1035277, 0.9134887
 1.1211852,438.8069304, 0.9325629
 1.1311958,439.2249953, 0.9574709
 1.1412063,439.2531092, 0.9568272
 1.1512169,439.3158611, 0.9579137
 1.1612275,439.2626142, 0.9577134
 1.1712381,439.4303488, 0.9587014
 1.1812487,439.4539199, 0.9595415
 1.1912593,439.4887496, 0.9534829
 1.2012698,439.6938504, 0.9525927
 1.2112804,439.6119602, 0.9438651
 1.2212910,439.7068832, 0.9293890
 1.2313016,439.6414983, 0.9084449
 1.2413122,439.9178294, 0.8978954
 1.2513228,439.7813183, 0.8879041
 1.2613333,439.8044867, 0.8796150
 1.2713439,439.7162165, 0.9050479
 1.2813545,439.4646271, 0.9250372
 1.2913651,439.5654054, 0.9421846
 1.3013757,439.4587033, 0.9508746
 1.3113862,439.5072215, 0.9508837
 1.3213968,439.2628924, 0.9335606
 1.3314074,439.0609578, 0.8829550
 1.3414180,436.2015710, 0.6294697
 1.3514286,438.6682481, 0.1070576
 1.3614392,442.5608507, 0.5088282
 1.3714497,441.3761734, 0.7230691
 1.3814603,440.7804715, 0.8688424
 1.3914709,440.5452075, 0.9411063
 1.4014815,439.7787858, 0.9503838
 1.4114921,439.5382097, 0.9525344
 1.4215026,439.9439043, 0.9570623
 1.4315132,439.7799264, 0.9513171
 1.4415238,439.8770600, 0.9438512
 1.4515344,440.0092248, 0.9435211
 1.4615450,439.9180867, 0.9268012
 1.4715556,440.0739793, 0.9137651
 1.4815661,439.9187213, 0.8831549
 1.4915767,440.1638282, 0.8811485
 1.5015873,440.1759836, 0.8768927
 1.5115979,440.2491964, 0.8619309
 1.5216085,440.1833885, 0.8605676
 1.5316190,440.1418958, 0.8518248
 1.5416296,440.1623332, 0.8433873
 1.5516402,439.9238696, 0.8334081
 1.5616508,440.0041444, 0.8258495
 1.5716614,439.6371335, 0.7996041
 1.5816720,438.7060675, 0.7717387
 1.5916825,436.6854399, 0.7298755
 1.6016931,432.7059395, 0.3716335
 1.6117037,433.3272091, 0.0965520
 1.6217143,442.7740691, 0.1125292
 1.6317249,444.0962478, 0.3925820
 1.6417354,443.3514586, 0.6557378
 1.6517460,442.2878115, 0.8299474
 1.6617566,441.2068984, 0.9283324
 1.6717672,440.6417860, 0.9545595
 1.6817778,439.9828367, 0.9550050
 1.6917884,440.3767016, 0.9615937
 1.7017989,440.3205733, 0.9629665
 1.7118095,440.4678711, 0.9636110
 1.7218201,440.5994239, 0.9644829
 1.7318307,440.8232632, 0.9538459
 1.7418413,441.2438672, 0.8955083
 1.7518519,441.2992164, 0.7648908
 1.7618624,440.6139467, 0.8533311
 1.7718730,440.3702794, 0.9303704
 1.7818836,439.9611643, 0.9537525
 1.7918942,439.3632007, 0.9499903
 1.8019048,439.8226763, 0.9529668
 1.8119153,439.7838500, 0.9491799
 1.8219259,439.7595713, 0.9430889
 1.8319365,439.8601600, 0.9397960
 1.8419471,439.8579334, 0.9330679
 1.8519577,440.0590148, 0.9217017
 1.8619683,440.2271975, 0.9147349
 1.8719788,440.2175537, 0.8866564
 1.8819894,440.3729165, 0.8772985
 1.8920000,440.5138164, 0.7696044
 1.9020106,440.6368079, 0.6181601
 1.9120212,439.8123682, 0.4789155
 1.9220317,441.6152761, 0.8269020
 1.9320423,441.5356998, 0.9397528
 1.9420529,441.0395050, 0.9621146
 1.9520635,440.3515929, 0.9655182
 1.9620741,439.7365685, 0.9556012
 1.9720847,439.6706737, 0.9580055
 1.9820952,439.3642276, 0.9554205
 1.9921058,439.2432692, 0.9583801
 2.0021164,438.7898436, 0.9461830
 2.0121270,438.7230162, 0.9458655
 2.0221376,438.8437838, 0.9493117
 2.0321481,438.8930196, 0.9495100
 2.0421587,438.9725626, 0.9330038
 2.0521693,438.9658706, 0.8874580
 2.0621799,436.1294795, 0.7332250
 2.0721905,432.8490807, 0.0066590
 2.0822011,426.3305188, 0.1158958
 2.0922116,422.2767581, 0.0276230
 2.1022222,414.4582476, 0.1107632
 2.1122328,402.5442907, 0.0277697
 2.1222434,396.8884880, 0.3089047
 2.1322540,443.8029100, 0.2087732
 2.1422646,441.1541827, 0.4394463
 2.1522751,442.2382130, 0.7721099
 2.1622857,441.9326809, 0.9226236
 2.1722963,440.5633250, 0.9577525
 2.1823069,439.7336683, 0.9580572
 2.1923175,439.9354636, 0.9663361
 2.2023280,439.8926691, 0.9671090
 2.2123386,439.8011336, 0.9679749
 2.2223492,440.0326499, 0.9689966
 2.2323598,440.0154412, 0.9590102
 2.2423704,439.6049564, 0.9095877
 2.2523810,440.7281384, 0.8090025
 2.2623915,440.9951849, 0.8597034
 2.2724021,441.1063137, 0.9489738
 2.2824127,440.1712057, 0.9629253
 2.2924233,439.7670382, 0.9646537
 2.3024339,439.8516125, 0.9645557
 2.3124444,439.8682128, 0.9653321
 2.3224550,439.6763428, 0.9607346
 2.3324656,439.6626276, 0.9561144
 2.3424762,439.5913039, 0.9466581
 2.3524868,439.5585188, 0.9391063
 2.3624974,439.6396152, 0.9374833
 2.3725079,439.6546889, 0.9342786
 2.3825185,439.6673622, 0.9298275
 2.3925291,439.6441102, 0.9245796
 2.4025397,439.8501786, 0.9334800
 2.4125503,439.8161984, 0.9303681
 2.4225608,439.8085958, 0.9240408
 2.4325714,439.8401334, 0.9263997
 2.4425820,439.8014132, 0.9205379
 2.4525926,439.8569514, 0.9125568
 2.4626032,439.8158354, 0.9125907
 2.4726138,439.7948207, 0.9087242
 2.4826243,439.7478153, 0.9172110
 2.4926349,439.1620125, 0.8966516
 2.5026455,438.0912511, 0.8994128
 2.5126561,437.2180737, 0.8734577
 2.5226667,436.7358984, 0.7225455
 2.5326772,441.4992155, 0.3782124
 2.5426878,444.3676154, 0.5263916
 2.5526984,443.7852448, 0.7153744
 2.5627090,442.5684989, 0.8742130
 2.5727196,441.3313678, 0.9368712
 2.5827302,440.1123060, 0.9483167
 2.5927407,439.9345119, 0.9443489
 2.6027513,440.0798323, 0.9432842
 2.6127619,440.0252965, 0.9379271
 2.6227725,440.1884607, 0.9344695
 2.6327831,440.1433890, 0.9192340
 2.6427937,440.1066457, 0.9024265
 2.6528042,440.1729492, 0.8805967
 2.6628148,440.2236793, 0.8710685
 2.6728254,440.2514816, 0.8541343
 2.6828360,440.3439529, 0.8365387
 2.6928466,440.2976899, 0.8242255
 2.7028571,440.3152620, 0.8210227
 2.7128677,440.2568209, 0.8100066
 2.7228783,440.1767432, 0.7983745
 2.7328889,440.1237836, 0.7877097
 2.7428995,440.0133265, 0.7821113
 2.7529101,439.4839482, 0.7953697
 2.7629206,439.0996939, 0.7876466
 2.7729312,439.4377394, 0.6750981
 2.7829418,438.0198208, 0.2768921
 2.7929524,437.8057589, 0.0689213
 2.8029630,441.9133097, 0.1688630
 2.8129735,446.7045027, 0.3602080
 2.8229841,442.7574835, 0.6318048
 2.8329947,442.0641376, 0.8332049
 2.8430053,440.8348613, 0.9275177
 2.8530159,439.7781867, 0.9448668
 2.8630265,439.7971127, 0.9584050
 2.8730370,439.8751631, 0.9617471
 2.8830476,439.9866103, 0.9652090
 2.8930582,439.9526060, 0.9668657
 2.9030688,440.1141552, 0.9609806
 2.9130794,440.7543637, 0.9278842
 2.9230899,439.3013334, 0.8065489
 2.9331005,439.5317564, 0.8375638
 2.9431111,439.6537655, 0.9184014
 2.9531217,439.3652241, 0.9399818
 2.9631323,439.1456988, 0.9503846
 2.9731429,439.3532979, 0.9559042
 2.9831534,439.3869321, 0.9559727
 2.9931640,439.2759651, 0.9534457
 3.0031746,439.3390513, 0.9508878
 3.0131852,439.4069510, 0.9520470
 3.0231958,439.4644161, 0.9464437
 3.0332063,439.8044572, 0.9333991
 3.0432169,439.7359062, 0.8948708
 3.0532275,440.6771350, 0.8091796
 3.0632381,445.4090492, 0.4097739
 3.0732487,484.3279931, 0.1886401
 3.0832593,472.4761476, 0.0320768
 3.0932698,461.7735864, 0.1298993
 3.1032804,456.2975487, 0.2598929
 3.1132910,445.8744669, 0.0814906
 3.1233016,439.5974252, 0.0149638
 3.1333122,439.4814047, 0.1008822
 3.1433228,439.9904290, 0.5960248
 3.1533333,441.9752579, 0.8141897
 3.1633439,443.1479122, 0.8262546
 3.1733545,443.7303009, 0.8068537
 3.1833651,444.8046142, 0.7998203
 3.1933757,443.8985546, 0.8617902
 3.2033862,442.2528775, 0.8824661
 3.2133968,441.6796153, 0.8760161
 3.2234074,441.1251345, 0.7963687
 3.2334180,437.1550607, 0.3936082
 3.2434286,392.4785535, 0.5239305
 3.2534392,402.4757493, 0.6366343
 3.2634497,430.2030245, 0.4829417
 3.2734603,435.6962260, 0.7403101
 3.2834709,438.1010236, 0.8316339
 3.2934815,439.1131247, 0.9060180
 3.3034921,440.5194810, 0.9596428
 3.3135026,439.6973363, 0.9593092
 3.3235132,439.7520647, 0.9661662
 3.3335238,438.7762732, 0.9252008
 3.3435344,436.9124906, 0.8760061
 3.3535450,433.8754743, 0.5418909
 3.3635556,430.8753322, 0.3108291
 3.3735661,430.4320833, 0.0899621
 3.3835767,432.7682599, 0.0304024
 3.3935873,439.3532276, 0.1050454
 3.4035979,439.8095944, 0.1586218
 3.4136085,440.3387095, 0.7509682
 3.4236190,440.1559858, 0.9032362
 3.4336296,440.5045619, 0.9211264
 3.4436402,440.1220491, 0.9229976
 3.4536508,440.3850615, 0.9423558
 3.4636614,439.8240310, 0.9379377
 3.4736720,439.8959350, 0.9379660
 3.4836825,439.9036379, 0.9214512
 3.4936931,439.9070762, 0.8921189
 3.5037037,438.1681456, 0.7379231
 3.5137143,420.3712466, 0.2795573
 3.5237249,396.2792251, 0.6279399
 3.5337354,399.7527102, 0.6017228
 3.5437460,396.4983542, 0.6245919
 3.5537566,398.7175290, 0.5806509
 3.5637672,397.8669666, 0.3880977
 3.5737778,395.2394118, 0.6145746
 3.5837884,393.1147222, 0.6655390
 3.5937989,395.9497706, 0.4127766
 3.6038095,400.1521376, 0.1000900
 3.6138201,416.3420919, 0.0063666
 3.6238307,426.9240203, 0.1364556
 3.6338413,429.7560712, 0.0223105
 3.6438519,432.7260610, 0.0107842
 3.6538624,435.3077132, 0.0632066
 3.6638730,398.6579975, 0.5142754
 3.6738836,399.5554381, 0.1582798
 3.6838942,397.6465532, 0.2555365
 3.6939048,401.3107274, 0.3639749
 3.7039153,429.7042543, 0.3274318
 3.7139259,435.2849852, 0.5140250
 3.7239365,439.6657217, 0.7328035
 3.7339471,441.9949488, 0.9012972
 3.7439577,443.0545120, 0.9260913
 3.7539683,441.4871398, 0.9508229
 3.7639788,440.6172957, 0.9480915
 3.7739894,440.3699060, 0.9512100
 3.7840000,440.1070932, 0.9537780
 3.7940106,439.9946270, 0.9448704
 3.8040212,440.9297874, 0.9307204
 3.8140317,441.9213356, 0.8622942
 3.8240423,441.8283446, 0.8006175
 3.8340529,440.3727029, 0.8715131
 3.8440635,439.7839548, 0.9058011
 3.8540741,439.4845808, 0.9237463
 3.8640847,439.6436339, 0.9248462
 3.8740952,439.4815480, 0.9339837
 3.8841058,439.6196060, 0.9484651
 3.8941164,439.2859838, 0.9536247
 3.9041270,439.2236793, 0.9456560
 3.9141376,439.9596630, 0.9304059
 3.9241481,440.2431808, 0.8537909
 3.9341587,440.6645693, 0.6667017
 3.9441693,444.3809516, 0.3925747
 3.9541799,394.5051701, 0.7979059
 3.9641905,393.9322468, 0.6679264
 3.9742011,394.4135652, 0.6486781
 3.9842116,394.6400493, 0.6007798
 3.9942222,392.4394961, 0.2711310
 4.0042328,383.5102511, 0.1351175
 4.0142434,379.6222627, 0.0365187
 4.0242540,394.8825262, 0.1718087
 4.0342646,395.1516586, 0.0345567
 4.0442751,396.3024173, 0.0847675
 4.0542857,395.1528700, 0.4895428
 4.0642963,394.6871311, 0.6393220
 4.0743069,399.1597704, 0.5941896
 4.0843175,403.2464602, 0.3112383
 4.0943280,439.5133709, 0.4185849
 4.1043386,439.9718999, 0.6093847
 4.1143492,441.2886348, 0.7527755
 4.1243598,440.1380199, 0.8447878
 4.1343704,439.6607862, 0.8893052
 4.1443810,440.5957644, 0.8966318
 4.1543915,440.9759011, 0.9189268
 4.1644021,441.2582872, 0.9005540
 4.1744127,436.2188599, 0.6191148
 4.1844233,433.2865973, 0.0624141
 4.1944339,430.8207114, 0.1250320
 4.2044444,429.5905177, 0.1114456
 4.2144550,432.2681644, 0.0942295
 4.2244656,439.3962656, 0.3826987
 4.2344762,440.5098495, 0.8473400
 4.2444868,440.3634069, 0.9083993
 4.2544974,440.1740055, 0.9487467
 4.2645079,440.5463709, 0.9650667
 4.2745185,440.1295255, 0.9636558
 4.2845291,440.2700175, 0.9605197
 4.2945397,440.5888541, 0.9362059
 4.3045503,440.3162019, 0.8369845
 4.3145608,441.9740639, 0.6325181
 4.3245714,420.9323328, 0.3882636
 4.3345820,393.9768538, 0.4007853
 4.3445926,391.4625457, 0.8077413
 4.3546032,392.8109876, 0.7365292
 4.3646138,391.6429107, 0.5192670
 4.3746243,391.5137836, 0.2595198
 4.3846349,392.4226281, 0.2373306
 4.3946455,440.8474014, 0.4972077
 4.4046561,440.7284390, 0.3130662
 4.4146667,440.4619010, 0.0554200
 4.4246772,395.5523261, 0.1837505
 4.4346878,397.4150933, 0.6426640
 4.4446984,399.1465774, 0.7411819
 4.4547090,403.1206091, 0.6101546
 4.4647196,423.4012602, 0.1995138
 4.4747302,431.8197419, 0.6383178
 4.4847407,436.4496077, 0.7715614
 4.4947513,439.2095481, 0.8361275
 4.5047619,440.6626682, 0.9373871
 4.5147725,440.1245616, 0.9550303
 4.5247831,440.2796211, 0.9612117
 4.5347937,440.2981965, 0.9580806
 4.5448042,440.0192183, 0.9565530
 4.5548148,440.1262385, 0.9557679
 4.5648254,440.5997953, 0.9386169
 4.5748360,441.4146020, 0.8775902
 4.5848466,444.3285618, 0.4904584
 4.5948571,446.4641055, 0.1701006
 4.6048677,443.5812999, 0.2226801
 4.6148783,444.5069825, 0.6779581
 4.6248889,444.2518984, 0.8685806
 4.6348995,442.7372536, 0.8327793
 4.6449101,441.2095685, 0.7926558
 4.6549206,440.8758885, 0.7832835
 4.6649312,441.3441051, 0.8564850
 4.6749418,440.5017762, 0.8350247
 4.6849524,440.7116209, 0.8248811
 4.6949630,443.0350106, 0.1729754
 4.7049735,435.9473222, 0.0881341
 4.7149841,408.4773834, 0.0325082
 4.7249947,399.0935831, 0.0285638
 4.7350053,394.1017769, 0.5758795
 4.7450159,392.1882595, 0.6384956
 4.7550265,391.8786512, 0.6394811
 4.7650370,394.0962267, 0.5616881
 4.7750476,398.4763451, 0.1650876
 4.7850582,440.6585100, 0.2973752
 4.7950688,439.6517925, 0.3921202
 4.8050794,442.7347202, 0.1330895
 4.8150899,435.3216056, 0.0572588
 4.8251005,419.5613122, 0.1196795
 4.8351111,407.4791014, 0.0363497
 4.8451217,396.7919292, 0.1133918
 4.8551323,393.8391207, 0.7394129
 4.8651429,393.4067649, 0.6894464
 4.8751534,397.2458190, 0.2212370
 4.8851640,403.8202987, 0.0683348
 4.8951746,419.6346419, 0.1459179
 4.9051852,437.6187761, 0.5461053
 4.9151958,439.6089535, 0.6998162
 4.9252063,440.9805356, 0.5956634
 4.9352169,443.1710608, 0.2588462
 4.9452275,439.3152028, 0.5617916
 4.9552381,436.8464671, 0.8358035
 4.9652487,436.5575144, 0.8925089
 4.9752593,437.5729591, 0.9054835
 4.9852698,438.9960209, 0.9035548
 4.9952804,440.1741218, 0.9520503
 5.0052910,441.5694782, 0.9654213
 5.0153016,441.6221202, 0.9527553
 5.0253122,441.6359250, 0.9436430
 5.0353228,441.6921480, 0.9453904
 5.0453333,441.0706163, 0.9389431
 5.0553439,440.0973650, 0.8742103
 5.0653545,429.4576597, 0.1040355
 5.0753651,395.4524041, 0.2416421
 5.0853757,371.0826735, 0.0230225
 5.0953862,343.2150969, 0.0149387
 5.1053968,327.3170002, 0.0352961
 5.1154074,328.7594589, 0.1948927
 5.1254180,331.4887214, 0.5474478
 5.1354286,329.5663294, 0.3412859
 5.1454392,330.0180533, 0.2224715
 5.1554497,333.9659269, 0.0370945
 5.1654603,349.0940848, 0.3126211
 5.1754709,364.5968143, 0.0377431
 5.1854815,367.2347844, 0.0791511
 5.1954921,380.0265952, 0.1408773
 5.2055026,393.7214644, 0.0207216
 5.2155132,395.5065534, 0.0628476
 5.2255238,393.6975399, 0.8210596
 5.2355344,393.9863081, 0.8837692
 5.2455450,395.0643149, 0.8108159
 5.2555556,372.6485511, 0.7282284
 5.2655661,317.2298641, 0.1634740
 5.2755767,293.4204167, 0.4532859
 5.2855873,292.2762879, 0.7971331
 5.2955979,292.1265024, 0.8441561
 5.3056085,293.1164720, 0.8429177
 5.3156190,294.2223399, 0.8774618
 5.3256296,295.1922171, 0.8788216
 5.3356402,296.6283609, 0.8197177
 5.3456508,335.2879576, 0.7401663
 5.3556614,390.0580180, 0.6556357
 5.3656720,438.7899083, 0.5150883
 5.3756825,439.4380792, 0.7420889
 5.3856931,440.8970806, 0.8831577
 5.3957037,441.3699375, 0.9106627
 5.4057143,441.6305420, 0.9225748
 5.4157249,441.5655233, 0.9039748
 5.4257354,441.6040743, 0.8810773
 5.4357460,441.4180259, 0.8991517
 5.4457566,441.2795698, 0.9057726
 5.4557672,441.1897441, 0.7745436
 5.4657778,438.9550189, 0.1981730
 5.4757884,398.2458177, 0.0893950
 5.4857989,399.0929731, 0.1325823
 5.4958095,365.1668935, 0.3390430
 5.5058201,330.5881416, 0.4466067
 5.5158307,328.9485295, 0.4888954
 5.5258413,329.2419147, 0.4183680
 5.5358519,332.9650159, 0.2240824
 5.5458624,330.9311884, 0.2915168
 5.5558730,336.8490126, 0.0881902
 5.5658836,353.4198838, 0.0903825
 5.5758942,375.7460194, 0.0680833
 5.5859048,390.7952771, 0.0757697
 5.5959153,393.2547195, 0.1944355
 5.6059259,393.4210869, 0.8197502
 5.6159365,393.3873693, 0.8782530
 5.6259471,392.6540345, 0.8855076
 5.6359577,393.4629324, 0.6753002
 5.6459683,394.0023200, 0.3445614
 5.6559788,359.1776022, 0.5411678
 5.6659894,320.3077759, 0.7544390
 5.6760000,292.4744243, 0.8323426
 5.6860106,294.6277241, 0.8540791
 5.6960212,296.1551350, 0.8580178
 5.7060317,297.7940824, 0.7538763
 5.7160423,337.5211698, 0.3299981
 5.7260529,395.0095099, 0.6552815
