time,frequency,confidence
 0.0000000,185.8362813, 0.0606932
 0.0100106,183.8870089, 0.2065476
 0.0200212,182.9521558, 0.6534815
 0.0300317,182.4686409, 0.8175843
 0.0400423,181.6082581, 0.7360460
 0.0500529,180.4912975, 0.7830546
 0.0600635,180.2891376, 0.7546694
 0.0700741,181.1183900, 0.6453553
 0.0800847,180.6629496, 0.6028216
 0.0900952,180.8123667, 0.5290699
 0.1001058,179.8852090, 0.4504196
 0.1101164,180.3092415, 0.7313534
 0.1201270,180.7434034, 0.7709720
 0.1301376,181.4728298, 0.7096409
 0.1401481,181.6865742, 0.5766054
 0.1501587,181.4123855, 0.7306571
 0.1601693,181.7503341, 0.7776123
 0.1701799,182.4213887, 0.8116714
 0.1801905,182.1971913, 0.7641876
 0.1902011,182.6840677, 0.7312671
 0.2002116,182.5143465, 0.5998638
 0.2102222,182.2537622, 0.6564628
 0.2202328,181.4045465, 0.7011044
 0.2302434,180.8679377, 0.7321801
 0.2402540,179.4576589, 0.7283726
 0.2502646,178.6413047, 0.6565048
 0.2602751,180.1174121, 0.6121678
 0.2702857,181.2617936, 0.7538877
 0.2802963,181.6914030, 0.5640095
 0.2903069,181.6265059, 0.5490558
 0.3003175,181.7161508, 0.5849612
 0.3103280,182.2709638, 0.2921371
 0.3203386,181.0184885, 0.1859459
 0.3303492,179.5818467, 0.5429659
 0.3403598,179.1570528, 0.6987551
 0.3503704,179.3025605, 0.5905707
 0.3603810,180.3439988, 0.5872169
 0.3703915,181.4657069, 0.6743843
 0.3804021,182.2851345, 0.6448601
 0.3904127,181.7953615, 0.8350296
 0.4004233,181.0260818, 0.8349739
 0.4104339,180.0397920, 0.8422579
 0.4204444,179.9427384, 0.8278939
 0.4304550,181.2177024, 0.8495798
 0.4404656,181.5948360, 0.6680722
 0.4504762,182.2534401, 0.6844949
 0.4604868,181.3746161, 0.6739082
 0.4704974,180.7404470, 0.6462945
 0.4805079,180.2887489, 0.5826364
 0.4905185,180.4228416, 0.7068132
 0.5005291,180.8645472, 0.5756930
 0.5105397,181.0820972, 0.6061505
 0.5205503,180.9397993, 0.6199924
 0.5305608,181.4022172, 0.7918631
 0.5405714,181.3131655, 0.7814956
 0.5505820,181.1077204, 0.7985422
 0.5605926,181.3196901, 0.6356937
 0.5706032,181.7663577, 0.7260186
 0.5806138,181.0615875, 0.7080081
 0.5906243,182.1438578, 0.6562225
 0.6006349,180.9016575, 0.4153563
 0.6106455,180.2838372, 0.5368165
 0.6206561,180.2782809, 0.7014377
 0.6306667,179.7282233, 0.8023757
 0.6406772,178.9293576, 0.7489375
 0.6506878,178.8797642, 0.7560370
 0.6606984,179.9492722, 0.5803230
 0.6707090,178.9435757, 0.5835500
 0.6807196,180.0667251, 0.5879859
 0.6907302,180.9018335, 0.6726841
 0.7007407,180.7370287, 0.4485832
 0.7107513,178.8518825, 0.3223424
 0.7207619,185.2643300, 0.2795796
 0.7307725,203.7070605, 0.4810932
 0.7407831,220.7983603, 0.5284584
 0.7507937,236.1834403, 0.5402817
 0.7608042,251.9132889, 0.4304959
 0.7708148,273.0546037, 0.3727579
 0.7808254,297.7507564, 0.4302050
 0.7908360,324.9367944, 0.3590271
 0.8008466,336.5130968, 0.4226145
 0.8108571,357.7600707, 0.5387110
 0.8208677,361.1994127, 0.6778070
 0.8308783,364.0890162, 0.8219265
 0.8408889,364.9440566, 0.8886589
 0.8508995,365.6299108, 0.9339602
 0.8609101,366.0445296, 0.9535415
 0.8709206,366.4360785, 0.9637003
 0.8809312,366.6371359, 0.9658824
 0.8909418,366.5636040, 0.9608971
 0.9009524,366.0841097, 0.9530773
 0.9109630,366.3210705, 0.9549214
 0.9209735,366.6253958, 0.9557256
 0.9309841,366.4616103, 0.9527391
 0.9409947,366.2463304, 0.9510272
 0.9510053,366.2590592, 0.9495122
 0.9610159,366.3213050, 0.9512978
 0.9710265,366.4597246, 0.9542223
 0.9810370,366.5211412, 0.9568263
 0.9910476,366.6342791, 0.9560462
 1.0010582,366.6781511, 0.9573109
 1.0110688,366.5559285, 0.9566785
 1.0210794,366.6078084, 0.9540761
 1.0310899,366.6342468, 0.9545404
 1.0411005,366.3765167, 0.9536451
 1.0511111,366.5830301, 0.9547099
 1.0611217,366.4075777, 0.9551110
 1.0711323,366.4408787, 0.9510112
 1.0811429,366.5688000, 0.9541192
 1.0911534,366.3704743, 0.9523569
 1.1011640,366.2065202, 0.9526962
 1.1111746,366.5871533, 0.9536071
 1.1211852,366.3004183, 0.9498911
 1.1311958,366.3149929, 0.9456598
 1.1412063,366.5107470, 0.9507908
 1.1512169,366.4453778, 0.9487004
 1.1612275,366.2142303, 0.9507548
 1.1712381,366.3408518, 0.9509465
 1.1812487,366.3525174, 0.9420211
 1.1912593,366.0439809, 0.9333403
 1.2012698,365.8847738, 0.9227827
 1.2112804,365.8273518, 0.9174886
 1.2212910,366.0062504, 0.9286041
 1.2313016,366.0452699, 0.9245870
 1.2413122,366.0166162, 0.9322593
 1.2513228,365.8304543, 0.9268810
 1.2613333,365.8652495, 0.9323143
 1.2713439,365.7598105, 0.9202336
 1.2813545,365.7807375, 0.9293600
 1.2913651,365.9257066, 0.9237005
 1.3013757,365.5911880, 0.9252368
 1.3113862,365.8616579, 0.9321027
 1.3213968,365.8435728, 0.9379109
 1.3314074,365.7936690, 0.9309540
 1.3414180,365.9600251, 0.9392450
 1.3514286,365.9839413, 0.9386667
 1.3614392,365.8300451, 0.9363400
 1.3714497,366.2839110, 0.9448088
 1.3814603,366.0596020, 0.9373590
 1.3914709,365.9782252, 0.9340870
 1.4014815,366.2418679, 0.9312747
 1.4114921,366.2595118, 0.9325936
 1.4215026,366.0871108, 0.9318389
 1.4315132,366.1513831, 0.9378251
 1.4415238,366.0849525, 0.9293873
 1.4515344,366.1713955, 0.9277270
 1.4615450,366.1047827, 0.9270467
 1.4715556,366.1485558, 0.9290440
 1.4815661,366.2407330, 0.9291223
 1.4915767,366.9335775, 0.9309789
