time,frequency,confidence
 0.0000000,50.5443336, 0.0106133
 0.0100106,50.4914771, 0.1747657
 0.0200212,50.0397903, 0.8003459
 0.0300317,49.9704249, 0.8244632
 0.0400423,49.9315905, 0.8485205
 0.0500529,50.0070380, 0.8269542
 0.0600635,49.9728781, 0.8659613
 0.0700741,50.1127225, 0.7954069
 0.0800847,49.9022872, 0.8666071
 0.0900952,50.0336225, 0.8150663
 0.1001058,49.9463817, 0.8627731
 0.1101164,50.0928661, 0.8450326
 0.1201270,50.1819509, 0.8213950
 0.1301376,50.0778124, 0.8198959
 0.1401481,49.8142345, 0.8517609
 0.1501587,49.6813869, 0.8823661
 0.1601693,49.5718506, 0.8940356
 0.1701799,49.8583176, 0.8529238
 0.1801905,49.8931457, 0.8351623
 0.1902011,49.7136497, 0.8260095
 0.2002116,49.5642274, 0.8542350
 0.2102222,49.6148737, 0.8503674
 0.2202328,49.6805276, 0.8432106
 0.2302434,49.6414952, 0.8304510
 0.2402540,49.7060394, 0.8252855
 0.2502646,49.7073326, 0.8203486
 0.2602751,49.7049120, 0.8462562
 0.2702857,49.7438712, 0.8333794
 0.2802963,49.7296682, 0.8251011
 0.2903069,49.7875508, 0.8298884
 0.3003175,49.6753713, 0.8503135
 0.3103280,49.8174138, 0.8166707
 0.3203386,49.7709409, 0.8124645
 0.3303492,49.9133483, 0.7222963
 0.3403598,49.6785686, 0.7955019
 0.3503704,49.7424746, 0.8212186
 0.3603810,49.8244087, 0.8333705
 0.3703915,50.0454761, 0.7920932
 0.3804021,50.1039279, 0.8430663
 0.3904127,50.1000380, 0.8368350
 0.4004233,49.8131576, 0.8464400
 0.4104339,49.7493518, 0.7668054
 0.4204444,50.0240786, 0.7636195
 0.4304550,50.3796406, 0.7561305
 0.4404656,50.3276015, 0.7704913
 0.4504762,50.1715670, 0.7437415
 0.4604868,49.9404772, 0.8426992
 0.4704974,50.0597427, 0.6911215
 0.4805079,50.1422081, 0.7043005
 0.4905185,50.2651981, 0.8034946
 0.5005291,50.1578188, 0.8028559
 0.5105397,49.9248564, 0.7763542
 0.5205503,49.8921846, 0.8692774
 0.5305608,49.9335943, 0.8495363
 0.5405714,50.0535908, 0.8410064
 0.5505820,50.2169629, 0.8391755
 0.5605926,50.1818065, 0.8448805
 0.5706032,50.1502456, 0.8180596
 0.5806138,49.9228767, 0.8433582
 0.5906243,49.8585291, 0.8533494
 0.6006349,49.8693425, 0.8729942
 0.6106455,49.8793313, 0.8331671
 0.6206561,49.8519060, 0.8243889
 0.6306667,49.9507178, 0.8066026
 0.6406772,49.9494011, 0.8181071
 0.6506878,49.8868826, 0.8241212
 0.6606984,49.8371088, 0.8062469
 0.6707090,49.7704545, 0.7381287
 0.6807196,49.6222536, 0.8085155
 0.6907302,49.6360348, 0.7713922
 0.7007407,49.6275535, 0.6720390
 0.7107513,49.3441340, 0.2387197
 0.7207619,52.9513948, 0.2539552
 0.7307725,55.6456487, 0.6696430
 0.7407831,60.3855013, 0.8572739
 0.7507937,64.7681713, 0.9178603
 0.7608042,71.4626131, 0.9243716
 0.7708148,75.6292624, 0.9102335
 0.7808254,82.1187749, 0.9013732
 0.7908360,83.3240105, 0.8902310
 0.8008466,89.5939919, 0.8297977
 0.8108571,96.9818960, 0.8024935
 0.8208677,103.4681422, 0.9179496
 0.8308783,109.7640749, 0.8590992
 0.8408889,114.0845058, 0.6199709
 0.8508995,123.6122124, 0.2792968
 0.8609101,130.6395312, 0.2137828
 0.8709206,138.3359208, 0.2920589
 0.8809312,143.9261407, 0.4526027
 0.8909418,154.5184844, 0.4226578
 0.9009524,161.8441499, 0.4882233
 0.9109630,170.8739502, 0.5314171
 0.9209735,186.8637808, 0.4612052
 0.9309841,197.8490423, 0.3277170
 0.9409947,210.7963391, 0.2659354
 0.9510053,217.8108610, 0.2889804
 0.9610159,217.8057867, 0.3795299
 0.9710265,218.3886288, 0.4486119
 0.9810370,218.9382480, 0.5257257
 0.9910476,218.7230196, 0.4149006
 1.0010582,218.3062520, 0.3333374
 1.0110688,218.6818281, 0.4550850
 1.0210794,218.8648546, 0.6062874
 1.0310899,219.5499948, 0.7142347
 1.0411005,219.7031119, 0.8265141
 1.0511111,219.3816459, 0.8417404
 1.0611217,219.3133982, 0.8273074
 1.0711323,219.2502773, 0.8532371
 1.0811429,219.4188762, 0.8746684
 1.0911534,219.7157168, 0.8677459
 1.1011640,219.7671758, 0.8283762
 1.1111746,219.6728174, 0.7853838
 1.1211852,220.5030655, 0.7620214
 1.1311958,221.5328798, 0.6027365
 1.1412063,221.0697571, 0.8030887
 1.1512169,223.1215816, 0.4111122
 1.1612275,222.5072505, 0.2027678
 1.1712381,221.7326586, 0.3821718
 1.1812487,220.5461501, 0.7274763
 1.1912593,219.3053594, 0.8820664
 1.2012698,219.1428089, 0.9205684
 1.2112804,219.0823528, 0.9282212
 1.2212910,219.0935780, 0.9194942
 1.2313016,219.0989357, 0.9139258
 1.2413122,219.1877844, 0.9209448
 1.2513228,219.1244483, 0.9277772
 1.2613333,218.9826537, 0.9324896
 1.2713439,219.0488801, 0.9312574
 1.2813545,219.0617754, 0.9275542
 1.2913651,218.9976147, 0.9314324
 1.3013757,219.0891349, 0.9337912
 1.3113862,219.0699698, 0.9295108
 1.3213968,219.1568204, 0.9290482
 1.3314074,219.0803879, 0.9331700
 1.3414180,219.1147107, 0.9291971
 1.3514286,219.1408594, 0.9331335
 1.3614392,219.1450231, 0.9267889
 1.3714497,219.1497415, 0.9278710
 1.3814603,219.0994919, 0.9364182
 1.3914709,219.1024287, 0.9308724
 1.4014815,219.0141221, 0.9390699
 1.4114921,218.7884057, 0.9427574
 1.4215026,218.9291723, 0.9395329
 1.4315132,218.8740144, 0.9485009
 1.4415238,218.6182614, 0.9519225
 1.4515344,218.7944840, 0.9476692
 1.4615450,218.8171936, 0.9489396
 1.4715556,218.7007193, 0.9478901
 1.4815661,218.7067699, 0.9521779
 1.4915767,218.8478400, 0.9489258
 1.5015873,218.8054227, 0.9461911
 1.5115979,218.7706830, 0.9460200
 1.5216085,219.0532875, 0.9167824
 1.5316190,218.9169600, 0.8621820
 1.5416296,219.3837121, 0.6912130
 1.5516402,220.6872286, 0.5222583
 1.5616508,220.2736572, 0.4594669
 1.5716614,219.2294740, 0.7893171
 1.5816720,219.1707650, 0.8712211
 1.5916825,219.1880239, 0.9177465
 1.6016931,219.2979946, 0.9094648
 1.6117037,219.2941976, 0.9089619
 1.6217143,219.1982277, 0.9120480
 1.6317249,219.4650602, 0.9151818
 1.6417354,219.5862383, 0.9260377
 1.6517460,219.5213340, 0.9242801
 1.6617566,219.5164564, 0.9228117
 1.6717672,219.5137692, 0.9232474
 1.6817778,219.5139244, 0.9248773
 1.6917884,219.6650476, 0.9424167
 1.7017989,219.6840112, 0.9418391
 1.7118095,219.6156070, 0.9378526
 1.7218201,219.5710741, 0.9382690
 1.7318307,219.5265917, 0.9359521
 1.7418413,219.4817306, 0.9357450
 1.7518519,219.4258430, 0.9319736
 1.7618624,219.4237886, 0.9280765
 1.7718730,219.3390434, 0.9274453
 1.7818836,219.1522527, 0.9311303
 1.7918942,219.1657960, 0.9381310
 1.8019048,219.2584231, 0.9335296
 1.8119153,219.1717760, 0.9331086
 1.8219259,219.0846191, 0.9423967
 1.8319365,219.1434858, 0.9355253
 1.8419471,218.9993813, 0.9423469
 1.8519577,218.8967606, 0.9491299
 1.8619683,219.0968729, 0.9416475
 1.8719788,218.9959699, 0.9448952
 1.8819894,218.7477725, 0.9467626
 1.8920000,218.8123894, 0.9444442
 1.9020106,218.9201036, 0.9474852
 1.9120212,218.7228783, 0.9497820
 1.9220317,218.8524921, 0.9451274
 1.9320423,218.8329999, 0.9461675
