time,frequency,confidence
 0.0000000,50.4448288, 0.2187806
 0.0100106,50.3632212, 0.1369100
 0.0200212,50.1576000, 0.6894972
 0.0300317,49.9439047, 0.8301087
 0.0400423,50.0182977, 0.8249218
 0.0500529,50.3334601, 0.8465844
 0.0600635,50.3226523, 0.8590832
 0.0700741,50.3715885, 0.8772463
 0.0800847,50.2926102, 0.8874635
 0.0900952,50.3418707, 0.8736891
 0.1001058,50.2830134, 0.8806113
 0.1101164,50.2434878, 0.8532004
 0.1201270,50.0895288, 0.8076696
 0.1301376,50.2124443, 0.8044596
 0.1401481,50.0317582, 0.8305737
 0.1501587,50.2540875, 0.7939373
 0.1601693,50.1583532, 0.8436670
 0.1701799,50.2208460, 0.8746675
 0.1801905,50.0805262, 0.8584470
 0.1902011,50.1985393, 0.8759932
 0.2002116,50.0691684, 0.8850384
 0.2102222,50.0479218, 0.8662019
 0.2202328,49.8865980, 0.8693808
 0.2302434,50.0500923, 0.8654023
 0.2402540,50.1622283, 0.8361818
 0.2502646,50.3305716, 0.8253313
 0.2602751,50.1348807, 0.8227388
 0.2702857,50.0021279, 0.8582751
 0.2802963,49.8490060, 0.8509029
 0.2903069,49.9453270, 0.8458813
 0.3003175,50.0793083, 0.8536503
 0.3103280,50.3044258, 0.8600076
 0.3203386,50.3045928, 0.8506804
 0.3303492,50.1936515, 0.8331173
 0.3403598,50.0826218, 0.8131341
 0.3503704,50.0161787, 0.8153029
 0.3603810,49.9260286, 0.7966489
 0.3703915,49.9750932, 0.8176138
 0.3804021,49.8905422, 0.8357599
 0.3904127,50.0225614, 0.8458154
 0.4004233,50.2447089, 0.8445559
 0.4104339,50.3167002, 0.8396084
 0.4204444,50.2053995, 0.8164195
 0.4304550,50.3331631, 0.8431051
 0.4404656,50.2563379, 0.8413977
 0.4504762,50.2006795, 0.8327985
 0.4604868,50.1634178, 0.7915111
 0.4704974,50.3209334, 0.7890120
 0.4805079,50.2091127, 0.7249209
 0.4905185,50.1600401, 0.6684075
 0.5005291,49.9142796, 0.7477211
 0.5105397,50.0260555, 0.8239339
 0.5205503,50.0849953, 0.8322278
 0.5305608,50.3536156, 0.8236357
 0.5405714,50.4367950, 0.8474708
 0.5505820,50.3408115, 0.8378248
 0.5605926,50.2924345, 0.8662952
 0.5706032,50.1439079, 0.8348711
 0.5806138,50.0421484, 0.8824598
 0.5906243,50.0161424, 0.8610024
 0.6006349,49.9594787, 0.8044052
 0.6106455,49.8924102, 0.5886047
 0.6206561,49.8374244, 0.6607926
 0.6306667,49.8297431, 0.6932781
 0.6406772,50.1948632, 0.7647370
 0.6506878,50.2808232, 0.8021973
 0.6606984,55.4122849, 0.8198024
 0.6707090,63.2334852, 0.8426283
 0.6807196,73.1651461, 0.8172213
 0.6907302,83.4319771, 0.8420861
 0.7007407,95.5339854, 0.4862770
 0.7107513,102.5874212, 0.1181854
 0.7207619,118.4850631, 0.2387166
 0.7307725,133.0161950, 0.4231873
 0.7407831,144.3496152, 0.4778164
 0.7507937,164.7134472, 0.5473998
 0.7608042,187.4907422, 0.5200275
 0.7708148,208.4888031, 0.5117166
 0.7808254,233.3981050, 0.3243289
 0.7908360,271.8029192, 0.4757707
 0.8008466,294.2535251, 0.3304992
 0.8108571,331.9821605, 0.2373730
 0.8208677,337.8610708, 0.2685985
 0.8308783,355.0533230, 0.1437888
 0.8408889,374.0917714, 0.3346726
 0.8508995,371.6783287, 0.5404091
 0.8609101,370.0485130, 0.4904813
 0.8709206,368.8055793, 0.6215795
 0.8809312,370.1270751, 0.6121171
 0.8909418,396.6242484, 0.4558846
 0.9009524,396.2976553, 0.7702506
 0.9109630,396.2369400, 0.8835285
 0.9209735,395.5422813, 0.9182859
 0.9309841,394.6102789, 0.9511546
 0.9409947,394.1250821, 0.9569610
 0.9510053,393.7755394, 0.9675192
 0.9610159,393.7037867, 0.9718108
 0.9710265,393.6616340, 0.9671766
 0.9810370,394.2073920, 0.9591328
 0.9910476,394.4906916, 0.9403763
 1.0010582,395.0111542, 0.7801545
 1.0110688,346.0303420, 0.5254923
 1.0210794,303.2286849, 0.4274706
 1.0310899,268.6791394, 0.3813322
 1.0411005,269.5008301, 0.4396228
 1.0511111,270.7799429, 0.7971047
 1.0611217,271.5247103, 0.8853304
 1.0711323,271.9535985, 0.9205306
 1.0811429,272.2256266, 0.9439164
 1.0911534,272.0245641, 0.9229786
 1.1011640,271.6343398, 0.8449843
 1.1111746,271.2404666, 0.6826125
 1.1211852,272.3340015, 0.4406844
 1.1311958,271.9090708, 0.3270634
 1.1412063,271.3256128, 0.2310297
 1.1512169,270.4159825, 0.2621478
 1.1612275,270.9916367, 0.3676654
 1.1712381,269.5913940, 0.3900511
 1.1812487,268.5382525, 0.2729045
 1.1912593,246.7108635, 0.3097850
 1.2012698,218.7067299, 0.3127494
 1.2112804,219.1565228, 0.4036289
 1.2212910,219.4265424, 0.3623626
 1.2313016,219.5995204, 0.4255774
 1.2413122,219.5192333, 0.5304671
 1.2513228,219.6866746, 0.2866391
 1.2613333,230.6057575, 0.2096061
 1.2713439,262.4345482, 0.2289753
 1.2813545,270.0694977, 0.1652467
 1.2913651,270.0445719, 0.1970027
 1.3013757,270.0993232, 0.2578050
 1.3113862,270.6693951, 0.2540604
 1.3213968,270.6147595, 0.2971145
 1.3314074,269.2465321, 0.2573470
 1.3414180,277.3978276, 0.2296613
 1.3514286,317.7611421, 0.4194864
 1.3614392,328.3848076, 0.4731164
 1.3714497,356.2804636, 0.2294652
 1.3814603,392.7588064, 0.2806641
 1.3914709,405.9476814, 0.3415608
 1.4014815,400.6419485, 0.4726945
 1.4114921,400.0309178, 0.6040948
 1.4215026,398.9593439, 0.6991027
 1.4315132,398.1870074, 0.6373635
 1.4415238,399.1634077, 0.5673009
 1.4515344,399.8955245, 0.4754004
 1.4615450,399.2183067, 0.2913715
 1.4715556,401.0470360, 0.2488122
 1.4815661,409.8104534, 0.5222621
 1.4915767,421.2497130, 0.4457284
 1.5015873,428.8038506, 0.3341694
 1.5115979,435.3015044, 0.4454690
 1.5216085,434.9374064, 0.4122380
 1.5316190,435.3149859, 0.4293999
 1.5416296,434.0254161, 0.2998181
 1.5516402,434.4635576, 0.1869447
 1.5616508,436.8614122, 0.1909479
 1.5716614,439.8186208, 0.2762578
 1.5816720,438.2329506, 0.5063557
 1.5916825,437.9530821, 0.6550446
 1.6016931,437.5035065, 0.6125628
 1.6117037,437.7211352, 0.4800485
 1.6217143,438.4756467, 0.6135226
 1.6317249,438.1067049, 0.5148844
 1.6417354,437.5028849, 0.5416904
 1.6517460,439.9477971, 0.3641595
 1.6617566,437.8252885, 0.3110039
 1.6717672,401.7714459, 0.4162152
 1.6817778,400.8059703, 0.4623900
