time,frequency,confidence
 0.0000000,50.7093417, 0.0171661
 0.0100106,50.5365867, 0.2886328
 0.0200212,50.0824988, 0.8058511
 0.0300317,50.0166835, 0.8329318
 0.0400423,50.0422948, 0.8183229
 0.0500529,50.3191826, 0.7442532
 0.0600635,50.1107809, 0.6852967
 0.0700741,50.1061497, 0.6721082
 0.0800847,50.0929230, 0.7293816
 0.0900952,50.3646216, 0.7394792
 0.1001058,50.5208256, 0.6960722
 0.1101164,50.4523355, 0.6336594
 0.1201270,50.2386062, 0.7124237
 0.1301376,49.7223936, 0.7211470
 0.1401481,49.5926919, 0.7293393
 0.1501587,50.0621495, 0.5344943
 0.1601693,50.2643239, 0.6450505
 0.1701799,50.3423488, 0.6324995
 0.1801905,50.1076789, 0.7002778
 0.1902011,50.1589831, 0.7332578
 0.2002116,49.9796459, 0.8249859
 0.2102222,49.7183729, 0.8056418
 0.2202328,49.8473795, 0.8362750
 0.2302434,50.1067342, 0.7856426
 0.2402540,50.2867914, 0.7474349
 0.2502646,50.2396315, 0.6192805
 0.2602751,50.0545117, 0.7185376
 0.2702857,50.0433916, 0.5611332
 0.2802963,50.4198901, 0.6859063
 0.2903069,50.5586632, 0.6934988
 0.3003175,50.3726202, 0.6842598
 0.3103280,50.0859276, 0.6491476
 0.3203386,50.0466138, 0.7463400
 0.3303492,50.1099865, 0.7671918
 0.3403598,50.0671825, 0.7475385
 0.3503704,50.0790519, 0.6293840
 0.3603810,50.4639049, 0.6566902
 0.3703915,50.2927328, 0.6959155
 0.3804021,50.0940651, 0.7421668
 0.3904127,50.0027401, 0.7110178
 0.4004233,49.8618729, 0.7437466
 0.4104339,50.1217722, 0.7648071
 0.4204444,50.2397533, 0.8375372
 0.4304550,50.3060631, 0.7689053
 0.4404656,50.3829721, 0.7980797
 0.4504762,50.3475138, 0.7317417
 0.4604868,50.1034996, 0.7660880
 0.4704974,49.9887070, 0.7770689
 0.4805079,50.0138131, 0.7328350
 0.4905185,49.8585655, 0.6457582
 0.5005291,50.0621882, 0.5248221
 0.5105397,50.0996264, 0.6298805
 0.5205503,50.4362637, 0.7162183
 0.5305608,50.2903642, 0.7735394
 0.5405714,50.3544689, 0.7604362
 0.5505820,50.4144690, 0.7165571
 0.5605926,50.2308471, 0.7886256
 0.5706032,49.8399760, 0.8373187
 0.5806138,49.9616399, 0.8529136
 0.5906243,49.8572558, 0.7932037
 0.6006349,50.2673041, 0.8418650
 0.6106455,50.3906107, 0.7586849
 0.6206561,50.2483309, 0.7574702
 0.6306667,49.9258115, 0.6997076
 0.6406772,49.9847911, 0.8154836
 0.6506878,50.0654576, 0.7769881
 0.6606984,50.2916280, 0.8454063
 0.6707090,50.2503920, 0.8031539
 0.6807196,50.4135284, 0.8559977
 0.6907302,50.3310975, 0.8308131
 0.7007407,50.1716889, 0.1957769
 0.7107513,55.1736858, 0.4182503
 0.7207619,61.8597393, 0.6752611
 0.7307725,71.6554947, 0.8740569
 0.7407831,81.2434869, 0.9068357
 0.7507937,87.5012536, 0.9366444
 0.7608042,99.4859887, 0.9412203
 0.7708148,110.3348319, 0.9449257
 0.7808254,125.6216983, 0.9068938
 0.7908360,143.2293787, 0.8019566
 0.8008466,151.8871025, 0.1665403
 0.8108571,171.9627085, 0.2166850
 0.8208677,189.8151721, 0.0415212
 0.8308783,211.1511450, 0.0225756
 0.8408889,232.1012791, 0.0281546
 0.8508995,261.7289360, 0.6432765
 0.8609101,291.2845166, 0.9300843
 0.8709206,322.3017233, 0.9308128
 0.8809312,357.6588968, 0.2033893
 0.8909418,389.1797370, 0.3716151
 0.9009524,392.2249636, 0.6513713
 0.9109630,395.0923099, 0.7841455
 0.9209735,395.3117619, 0.8433265
 0.9309841,395.0977070, 0.9342144
 0.9409947,394.1945438, 0.9567715
 0.9510053,393.9113634, 0.9671901
 0.9610159,393.9796592, 0.9536401
 0.9710265,394.1942990, 0.9452317
 0.9810370,393.8721605, 0.8822176
 0.9910476,398.2347082, 0.6309078
 1.0010582,438.4244591, 0.6053420
 1.0110688,440.3491951, 0.8547400
 1.0210794,439.6262259, 0.9205082
 1.0310899,438.8524973, 0.9317765
 1.0411005,438.7647167, 0.9475036
 1.0511111,438.4361844, 0.9396675
 1.0611217,438.5062332, 0.9379491
 1.0711323,438.6465224, 0.9399371
 1.0811429,439.0880524, 0.9179611
 1.0911534,439.7310706, 0.8233454
 1.1011640,440.6369284, 0.7379430
 1.1111746,441.6611756, 0.8425614
 1.1211852,440.3241873, 0.9346940
 1.1311958,439.5341042, 0.9538623
 1.1412063,438.9806720, 0.9467105
 1.1512169,438.8306796, 0.9438586
 1.1612275,438.7754446, 0.9378853
 1.1712381,438.5779909, 0.9145548
 1.1812487,438.8671211, 0.8942469
 1.1912593,438.7609952, 0.6427075
 1.2012698,403.6285289, 0.8683513
 1.2112804,343.0699836, 0.8948265
 1.2212910,313.5793876, 0.9227915
