time,frequency,confidence
 0.0000000,50.8127473, 0.0177552
 0.0100106,50.7889841, 0.5331325
 0.0200212,50.3603170, 0.8231736
 0.0300317,50.2191356, 0.7923331
 0.0400423,49.9962470, 0.8438731
 0.0500529,49.9714036, 0.8380773
 0.0600635,49.8389833, 0.8462889
 0.0700741,49.9798486, 0.8177008
 0.0800847,49.9627381, 0.8497084
 0.0900952,50.1614099, 0.8133463
 0.1001058,50.0599882, 0.8001479
 0.1101164,50.0440522, 0.7673519
 0.1201270,49.9259177, 0.8089905
 0.1301376,49.9814404, 0.8041922
 0.1401481,50.1449061, 0.8058899
 0.1501587,50.2950883, 0.7586192
 0.1601693,50.1062460, 0.7919608
 0.1701799,50.0548637, 0.7070215
 0.1801905,50.0540009, 0.7150069
 0.1902011,50.2517736, 0.7644204
 0.2002116,50.0650551, 0.7824467
 0.2102222,49.9771307, 0.7184479
 0.2202328,49.9445038, 0.7882952
 0.2302434,50.0454917, 0.7668758
 0.2402540,50.3252619, 0.7612034
 0.2502646,50.4792750, 0.7873815
 0.2602751,50.2509273, 0.8259326
 0.2702857,50.0163467, 0.8126634
 0.2802963,49.8851343, 0.8744997
 0.2903069,49.9870427, 0.8393327
 0.3003175,50.2147783, 0.8278915
 0.3103280,50.4101689, 0.7729887
 0.3203386,50.5043619, 0.8367884
 0.3303492,50.2232617, 0.8031493
 0.3403598,50.0834633, 0.8319474
 0.3503704,49.9791023, 0.8256226
 0.3603810,50.0742879, 0.8332096
 0.3703915,50.1845082, 0.6998643
 0.3804021,50.4233790, 0.7346759
 0.3904127,50.3728393, 0.6670055
 0.4004233,50.1755721, 0.7492145
 0.4104339,50.0341274, 0.6901755
 0.4204444,50.2346117, 0.7787001
 0.4304550,50.2645987, 0.7773319
 0.4404656,50.3291825, 0.7835774
 0.4504762,50.1530995, 0.7119291
 0.4604868,50.0399922, 0.8329847
 0.4704974,49.9882246, 0.7875383
 0.4805079,50.1177003, 0.8060603
 0.4905185,50.1069087, 0.8232685
 0.5005291,50.0035436, 0.8598923
 0.5105397,49.9979182, 0.8385180
 0.5205503,50.2157309, 0.8214238
 0.5305608,50.1983253, 0.8135250
 0.5405714,50.2259810, 0.8326467
 0.5505820,49.9945092, 0.8461025
 0.5605926,50.0518468, 0.8368197
 0.5706032,49.9903843, 0.8048201
 0.5806138,50.2741303, 0.8250880
