time,frequency,confidence
 0.0000000,50.5900274, 0.0875473
 0.0100106,50.4810972, 0.4432244
 0.0200212,50.1049958, 0.7795074
 0.0300317,50.2981460, 0.7845484
 0.0400423,50.4146906, 0.8166578
 0.0500529,50.5034361, 0.7504216
 0.0600635,50.1631580, 0.7577563
 0.0700741,50.0615632, 0.7362596
 0.0800847,49.8594878, 0.8415463
 0.0900952,49.9760817, 0.6812573
 0.1001058,49.9272451, 0.8075500
 0.1101164,50.0889321, 0.7780350
 0.1201270,50.2064885, 0.7632418
 0.1301376,50.2347556, 0.7392977
 0.1401481,50.2226965, 0.8236519
 0.1501587,50.2375777, 0.7844095
 0.1601693,50.1461577, 0.8017455
 0.1701799,50.1241762, 0.8055401
 0.1801905,50.0954783, 0.8358974
 0.1902011,50.0795835, 0.7777823
 0.2002116,49.9875513, 0.7698568
 0.2102222,50.1224994, 0.6465092
 0.2202328,50.0552749, 0.8321847
 0.2302434,50.0339970, 0.7599085
 0.2402540,50.1245901, 0.7465289
 0.2502646,50.2152624, 0.6078377
 0.2602751,50.1733990, 0.7230288
 0.2702857,50.1449145, 0.6053993
 0.2802963,50.2521215, 0.7333547
 0.2903069,50.2761298, 0.7323731
 0.3003175,50.3058130, 0.8248740
 0.3103280,50.3505548, 0.7105718
 0.3203386,50.4259825, 0.7244487
 0.3303492,50.3730180, 0.6521790
 0.3403598,50.2528160, 0.7442313
 0.3503704,50.0628094, 0.6500983
 0.3603810,50.0621702, 0.7155823
 0.3703915,50.0041404, 0.6988931
 0.3804021,50.2660447, 0.7640436
 0.3904127,50.3599762, 0.6769454
 0.4004233,50.4196925, 0.7276784
 0.4104339,50.3131209, 0.4043782
 0.4204444,49.9543946, 0.6316050
 0.4304550,49.8381801, 0.7256048
 0.4404656,49.9986479, 0.7992181
 0.4504762,50.3468131, 0.7014934
 0.4604868,50.2689808, 0.7425555
 0.4704974,49.9456219, 0.6008875
 0.4805079,49.9340519, 0.5640477
 0.4905185,50.0239448, 0.4218380
 0.5005291,50.4263190, 0.4985481
 0.5105397,50.3542733, 0.3229761
 0.5205503,50.3182934, 0.7100882
 0.5305608,50.1291968, 0.7022543
 0.5405714,50.1974686, 0.7264587
 0.5505820,50.0310983, 0.6496549
 0.5605926,50.2587761, 0.7310266
 0.5706032,55.4867944, 0.5184602
 0.5806138,62.8623141, 0.6847923
 0.5906243,72.8866226, 0.6468611
 0.6006349,83.8501379, 0.8137957
 0.6106455,96.0018769, 0.6674613
 0.6206561,101.9725695, 0.6538762
 0.6306667,118.7221282, 0.3873014
 0.6406772,130.0661876, 0.7045829
 0.6506878,147.0978302, 0.6092564
 0.6606984,167.0582214, 0.7473338
 0.6707090,182.1079108, 0.6339000
 0.6807196,203.5732547, 0.8105630
 0.6907302,242.8362183, 0.7621903
 0.7007407,254.8919182, 0.7176393
 0.7107513,297.6214190, 0.4692416
 0.7207619,332.1984439, 0.1089828
 0.7307725,329.3361582, 0.3070779
 0.7407831,328.9586917, 0.5975075
 0.7507937,328.3683752, 0.6039937
 0.7608042,365.7416797, 0.3865131
 0.7708148,420.1309481, 0.0840729
 0.7808254,477.5714904, 0.0773774
 0.7908360,548.2986303, 0.3198940
 0.8008466,549.2356508, 0.7836338
 0.8108571,550.7791334, 0.8232786
 0.8208677,551.5266740, 0.8522337
 0.8308783,551.9972460, 0.8480305
 0.8408889,552.3103295, 0.8526341
 0.8508995,552.4143176, 0.8518470
 0.8609101,552.0016521, 0.8745592
 0.8709206,551.9456229, 0.8791437
 0.8809312,551.7244601, 0.8905221
 0.8909418,551.8477611, 0.8776817
 0.9009524,551.7254285, 0.8744574
 0.9109630,552.2756579, 0.8555608
 0.9209735,552.1951931, 0.8558831
 0.9309841,552.4200757, 0.8492206
 0.9409947,552.5047231, 0.8525134
 0.9510053,552.9301591, 0.8437546
 0.9610159,553.1544538, 0.8487704
