time,frequency,confidence
 0.0000000,51.0760769, 0.0137513
 0.0100106,50.8546539, 0.2631501
 0.0200212,50.5190805, 0.6881866
 0.0300317,50.3217790, 0.7831099
 0.0400423,50.3554445, 0.8119849
 0.0500529,50.2892828, 0.8214750
 0.0600635,50.1223645, 0.8434280
 0.0700741,50.0724417, 0.8334959
 0.0800847,50.0555066, 0.8453716
 0.0900952,49.9738850, 0.8219623
 0.1001058,50.2278973, 0.8312151
 0.1101164,50.3707135, 0.8645048
 0.1201270,50.2211951, 0.8161063
 0.1301376,50.1567350, 0.7509081
 0.1401481,50.0054009, 0.8495808
 0.1501587,50.0243212, 0.8208216
 0.1601693,49.9116628, 0.7990760
 0.1701799,49.9628373, 0.7553490
 0.1801905,50.0242733, 0.8137710
 0.1902011,50.1269474, 0.7704517
 0.2002116,50.1611277, 0.8002734
 0.2102222,50.2257880, 0.8727949
 0.2202328,50.0395806, 0.8867085
 0.2302434,49.8763511, 0.8618377
 0.2402540,49.7590788, 0.8443089
 0.2502646,50.0254972, 0.7882393
 0.2602751,50.2238897, 0.8224690
 0.2702857,50.2471254, 0.8196077
 0.2802963,50.1149050, 0.8411868
 0.2903069,49.8827225, 0.8487867
 0.3003175,50.1119763, 0.8387743
 0.3103280,50.2223382, 0.7684903
 0.3203386,50.2511823, 0.7943645
 0.3303492,50.3452362, 0.7959001
 0.3403598,50.0975421, 0.7855942
 0.3503704,49.8524997, 0.7576276
 0.3603810,49.9653575, 0.8487920
 0.3703915,50.1381326, 0.8274530
 0.3804021,50.4723962, 0.8180324
 0.3904127,50.2452725, 0.7604619
 0.4004233,49.7973174, 0.8237108
 0.4104339,49.8324835, 0.8111827
 0.4204444,50.0483192, 0.7954073
 0.4304550,50.2183111, 0.8017121
 0.4404656,50.2606985, 0.8313665
 0.4504762,50.2340953, 0.8024836
 0.4604868,50.0682502, 0.7832805
 0.4704974,50.0766947, 0.7865332
 0.4805079,50.1164671, 0.8394463
 0.4905185,50.0266443, 0.8595091
 0.5005291,50.3433310, 0.8141671
 0.5105397,55.3854760, 0.8162299
 0.5205503,63.1211162, 0.7987944
 0.5305608,72.4089752, 0.8217674
 0.5405714,82.1184357, 0.8118039
 0.5505820,94.4039744, 0.7675817
 0.5605926,100.9309568, 0.8439036
 0.5706032,118.2597179, 0.7899299
 0.5806138,127.6835093, 0.8190562
 0.5906243,146.8769799, 0.8252497
 0.6006349,162.9386032, 0.8759552
 0.6106455,182.0487704, 0.8491408
 0.6206561,202.3524874, 0.8469886
 0.6306667,238.6193913, 0.8533465
 0.6406772,254.2118666, 0.8459554
 0.6506878,294.9482501, 0.7332007
 0.6606984,339.5852694, 0.8385197
 0.6707090,353.5540032, 0.7810726
 0.6807196,408.5618074, 0.7836580
 0.6907302,467.4733774, 0.8021802
 0.7007407,511.9533389, 0.5669728
 0.7107513,590.1013787, 0.1230687
 0.7207619,653.6292629, 0.4705270
 0.7307725,655.0866236, 0.7046800
 0.7407831,655.4802081, 0.8398834
 0.7507937,656.1890300, 0.9062274
 0.7608042,656.5402211, 0.9479676
 0.7708148,657.1112692, 0.9598524
 0.7808254,657.1079494, 0.9609411
 0.7908360,657.2883957, 0.9595785
 0.8008466,657.5126825, 0.9484493
 0.8108571,657.6947267, 0.9398093
 0.8208677,657.7488399, 0.9221591
 0.8308783,658.3470094, 0.8928028
 0.8408889,660.2599173, 0.8623298
 0.8508995,660.6285901, 0.8285709
 0.8609101,661.5983198, 0.8481958
 0.8709206,661.2462726, 0.8506673
 0.8809312,661.7552372, 0.8379772
 0.8909418,662.1906716, 0.8726332
 0.9009524,661.3990035, 0.9060725
 0.9109630,659.5070460, 0.8870635
 0.9209735,658.9477951, 0.8850588
 0.9309841,659.4474246, 0.9090240
 0.9409947,660.1809365, 0.9279693
 0.9510053,660.0348331, 0.9279888
 0.9610159,660.0253943, 0.9286736
 0.9710265,715.7126224, 0.9212847
 0.9810370,823.1479855, 0.9280345
 0.9910476,960.9030975, 0.9269480
 1.0010582,1041.3314745, 0.8960664
 1.0110688,1211.0160737, 0.7719936
 1.0210794,1319.5059031, 0.8443162
 1.0310899,1319.2881744, 0.9067533
 1.0411005,1319.0142051, 0.9332714
 1.0511111,1319.0408905, 0.9426715
 1.0611217,1318.5710991, 0.9489353
 1.0711323,1318.2249010, 0.9518350
 1.0811429,1318.1121139, 0.9548398
 1.0911534,1318.1190133, 0.9564205
 1.1011640,1317.6738039, 0.9519275
 1.1111746,1317.7353417, 0.9495644
 1.1211852,1318.0598584, 0.9460269
 1.1311958,1317.6905928, 0.9365908
 1.1412063,1318.2131734, 0.9392800
 1.1512169,1318.8982573, 0.9388671
 1.1612275,1318.9126071, 0.9317901
 1.1712381,1318.5200356, 0.9256147
 1.1812487,1318.7686841, 0.8922749
 1.1912593,1208.8672602, 0.7484528
 1.2012698,1062.8391634, 0.9108648
 1.2112804,923.7439341, 0.9464484
 1.2212910,855.5155743, 0.9464098
 1.2313016,716.6172229, 0.9493566
 1.2413122,659.6688785, 0.9546621
 1.2513228,659.3730222, 0.9559902
 1.2613333,659.5207648, 0.9606959
 1.2713439,659.5231920, 0.9594932
 1.2813545,659.5030930, 0.9600676
 1.2913651,659.3297146, 0.9588544
 1.3013757,659.1472635, 0.9580324
 1.3113862,658.9013602, 0.9553632
 1.3213968,658.8267387, 0.9514055
 1.3314074,658.7356913, 0.9484445
 1.3414180,658.8073187, 0.9440376
 1.3514286,658.6728766, 0.9386275
 1.3614392,658.5408879, 0.9355983
 1.3714497,658.3308410, 0.9318787
 1.3814603,659.0278517, 0.9220814
 1.3914709,659.9174571, 0.9125684
 1.4014815,660.3559630, 0.8977209
 1.4114921,660.4682170, 0.9044775
 1.4215026,660.0548433, 0.8845361
 1.4315132,659.7724811, 0.8835794
 1.4415238,659.4636309, 0.8730119
 1.4515344,659.4268190, 0.8583848
 1.4615450,659.7028191, 0.8796470
 1.4715556,659.7352387, 0.8918307
 1.4815661,659.5768499, 0.8919942
 1.4915767,659.4057010, 0.9123574
 1.5015873,659.5315535, 0.9241875
 1.5115979,659.4135186, 0.9251938
 1.5216085,659.5866093, 0.9437701
 1.5316190,659.3504145, 0.9412261
 1.5416296,659.0439997, 0.9347423
 1.5516402,659.2870207, 0.9453647
 1.5616508,659.2158391, 0.9555801
 1.5716614,658.8624345, 0.9553670
 1.5816720,658.8504998, 0.9561498
 1.5916825,659.3086469, 0.9514540
 1.6016931,659.1629461, 0.9343509
 1.6117037,658.9622565, 0.9154531
 1.6217143,658.6004698, 0.9179572
 1.6317249,658.6931305, 0.9267332
 1.6417354,659.1151875, 0.9425399
 1.6517460,659.1317837, 0.9412367
 1.6617566,659.0215558, 0.9365245
 1.6717672,659.2901919, 0.9295185
 1.6817778,660.1279183, 0.9044776
 1.6917884,660.4053294, 0.8626934
 1.7017989,660.1894011, 0.8158626
 1.7118095,659.7908175, 0.7727190
 1.7218201,659.8000264, 0.8102736
 1.7318307,659.8689127, 0.8283123
 1.7418413,659.7245835, 0.8496778
 1.7518519,659.5242918, 0.8738572
 1.7618624,659.6067960, 0.8931110
 1.7718730,659.8900399, 0.9101126
 1.7818836,660.2385687, 0.9251416
 1.7918942,660.2614966, 0.9320854
 1.8019048,660.3577688, 0.9243187
 1.8119153,660.8440714, 0.9324387
 1.8219259,660.7015137, 0.9388214
 1.8319365,660.3598315, 0.9454704
 1.8419471,660.0805577, 0.9503677
 1.8519577,659.9896948, 0.9446700
 1.8619683,659.9680221, 0.9405490
 1.8719788,659.5075674, 0.9487380
 1.8819894,659.1857328, 0.9491547
 1.8920000,658.8729691, 0.9500904
 1.9020106,658.4866517, 0.9544773
 1.9120212,658.2835743, 0.9545798
 1.9220317,658.0261376, 0.9552987
 1.9320423,658.2450080, 0.9538451
 1.9420529,658.1713869, 0.9558544
 1.9520635,657.8194377, 0.9545572
 1.9620741,657.7407992, 0.9551899
 1.9720847,657.8017262, 0.9556106
 1.9820952,657.7723689, 0.9533612
 1.9921058,658.1553139, 0.9470300
 2.0021164,658.3733854, 0.9522921
 2.0121270,659.1847163, 0.9535356
 2.0221376,658.6937119, 0.9481230
 2.0321481,659.0030931, 0.9513541
 2.0421587,659.2942941, 0.9564590
 2.0521693,659.8332615, 0.9587496
 2.0621799,659.4977495, 0.9548050
 2.0721905,658.9655788, 0.9438769
 2.0822011,659.0071727, 0.9483097
 2.0922116,658.6859825, 0.9441495
 2.1022222,658.6207285, 0.9476505
 2.1122328,658.4822079, 0.9450101
 2.1222434,658.1793633, 0.9412202
 2.1322540,657.8594079, 0.9464340
 2.1422646,657.8660058, 0.9494403
 2.1522751,658.1622069, 0.9412751
 2.1622857,659.0397300, 0.9386544
 2.1722963,659.9156707, 0.9315749
 2.1823069,660.0350396, 0.9037890
 2.1923175,659.9740133, 0.8803632
 2.2023280,659.8104324, 0.8525100
 2.2123386,660.1064120, 0.8567834
 2.2223492,659.8953318, 0.8662727
 2.2323598,659.7382861, 0.8743957
 2.2423704,659.6805907, 0.8626682
 2.2523810,659.4601992, 0.8570039
 2.2623915,658.9588184, 0.8433084
 2.2724021,658.2372159, 0.7212148
 2.2824127,657.8758927, 0.6961305
 2.2924233,658.1759216, 0.7626431
 2.3024339,658.4001221, 0.7900220
 2.3124444,658.8100734, 0.8228631
 2.3224550,658.8787608, 0.8709629
 2.3324656,659.0703311, 0.8805417
 2.3424762,658.9444859, 0.8618299
 2.3524868,659.1123357, 0.8326622
 2.3624974,659.1541324, 0.7577115
 2.3725079,659.2907791, 0.8620548
 2.3825185,659.3243726, 0.9269779
 2.3925291,659.4558538, 0.9574009
 2.4025397,659.3476433, 0.9631121
 2.4125503,659.1755739, 0.9621814
 2.4225608,659.0091361, 0.9640029
 2.4325714,658.8458861, 0.9613554
 2.4425820,658.6235910, 0.9575539
 2.4525926,658.3602863, 0.9541543
 2.4626032,658.6939126, 0.9593776
 2.4726138,658.6455215, 0.9589213
 2.4826243,658.4641638, 0.9582998
 2.4926349,658.6846904, 0.9602637
 2.5026455,658.5304228, 0.9555298
 2.5126561,658.3322707, 0.9511057
 2.5226667,658.5165156, 0.9531438
 2.5326772,658.7202958, 0.9532784
 2.5426878,658.6561209, 0.9536856
 2.5526984,658.6185237, 0.9484587
 2.5627090,658.6696767, 0.9410285
 2.5727196,658.5033263, 0.9310825
 2.5827302,658.6187476, 0.9352513
 2.5927407,658.8866328, 0.9374026
 2.6027513,658.9469407, 0.9306151
 2.6127619,659.0519150, 0.9303906
 2.6227725,659.0028321, 0.9185527
 2.6327831,659.1129136, 0.9198607
 2.6427937,659.0869923, 0.9240524
 2.6528042,659.1971381, 0.9191874
 2.6628148,659.2406503, 0.9260042
 2.6728254,659.2990866, 0.9292451
 2.6828360,658.9676580, 0.9225588
 2.6928466,658.7474079, 0.9257203
 2.7028571,658.8507647, 0.9321397
 2.7128677,658.8452840, 0.9305823
 2.7228783,658.6113111, 0.9327323
 2.7328889,658.8220891, 0.9351148
 2.7428995,658.8482528, 0.9474533
 2.7529101,658.8822124, 0.9513702
 2.7629206,659.2134381, 0.9589313
 2.7729312,659.2494382, 0.9633836
 2.7829418,659.0984706, 0.9631057
 2.7929524,659.0503636, 0.9632339
 2.8029630,658.7126952, 0.9577903
 2.8129735,658.8930790, 0.9597630
 2.8229841,658.9523591, 0.9593728
 2.8329947,659.1938339, 0.9579012
 2.8430053,659.5812762, 0.9574618
 2.8530159,659.8710949, 0.9577858
 2.8630265,660.2230068, 0.9584749
 2.8730370,660.3404460, 0.9553201
 2.8830476,660.1810878, 0.9487047
 2.8930582,660.1768531, 0.9481163
 2.9030688,659.9499683, 0.9510829
 2.9130794,659.5865848, 0.9420496
 2.9230899,659.6415507, 0.9400993
 2.9331005,659.8797429, 0.9424542
 2.9431111,660.1901330, 0.9382615
 2.9531217,660.1651041, 0.9183964
 2.9631323,659.9261710, 0.9054087
 2.9731429,660.0966254, 0.9139648
 2.9831534,660.5453905, 0.9208695
 2.9931640,660.2674633, 0.9212552
 3.0031746,660.0758615, 0.9387394
 3.0131852,659.8966325, 0.9417798
 3.0231958,659.9352742, 0.9512341
 3.0332063,659.9491176, 0.9542158
 3.0432169,659.6019409, 0.9616264
 3.0532275,658.7080019, 0.9585565
 3.0632381,658.2402357, 0.9559018
 3.0732487,657.9443498, 0.9537782
 3.0832593,657.9532072, 0.9535719
 3.0932698,658.3892585, 0.9512525
 3.1032804,658.6965891, 0.9544799
 3.1132910,658.4625508, 0.9466309
 3.1233016,658.1554233, 0.9288953
 3.1333122,658.0373571, 0.9063163
 3.1433228,658.6429807, 0.9006919
 3.1533333,659.4296694, 0.9164138
 3.1633439,658.8825874, 0.8880839
 3.1733545,658.2421127, 0.8360690
 3.1833651,658.3122969, 0.8073034
 3.1933757,658.9902150, 0.8555749
 3.2033862,660.5714447, 0.8534482
 3.2133968,660.1109778, 0.8546306
 3.2234074,660.7695866, 0.8443522
 3.2334180,660.2288385, 0.7680344
 3.2434286,658.3077812, 0.5005950
 3.2534392,656.9245191, 0.4439180
 3.2634497,658.1913095, 0.7608439
 3.2734603,658.7906659, 0.8875657
 3.2834709,660.0374899, 0.9238802
 3.2934815,660.0349406, 0.9283416
 3.3034921,660.4900175, 0.9276820
