time,frequency,confidence
 0.0000000,50.6416824, 0.3662273
 0.0100106,50.5252988, 0.3282733
 0.0200212,50.3475417, 0.8102051
 0.0300317,50.2668789, 0.7958654
 0.0400423,50.2467082, 0.8228808
 0.0500529,50.2068512, 0.7604895
 0.0600635,50.1406887, 0.8169948
 0.0700741,50.2614203, 0.7195160
 0.0800847,50.2565341, 0.8133128
 0.0900952,50.2724684, 0.7735937
 0.1001058,50.1308635, 0.8193135
 0.1101164,50.1332949, 0.7828136
 0.1201270,50.0933556, 0.8366955
 0.1301376,50.2360390, 0.8182638
 0.1401481,50.1836491, 0.8364571
 0.1501587,50.2296720, 0.8039608
 0.1601693,50.0873116, 0.8234386
 0.1701799,50.1848221, 0.7824054
 0.1801905,50.0780025, 0.8212305
 0.1902011,50.1861428, 0.8000516
 0.2002116,50.1659264, 0.8186327
 0.2102222,50.1919985, 0.8200896
 0.2202328,50.1173534, 0.8414276
 0.2302434,50.0869747, 0.8368806
 0.2402540,50.0130793, 0.8562811
 0.2502646,50.1256172, 0.7842228
 0.2602751,50.1806580, 0.8229492
 0.2702857,50.2037912, 0.7945899
 0.2802963,50.0324115, 0.8337701
 0.2903069,50.0982850, 0.7801481
 0.3003175,50.0694484, 0.8283505
 0.3103280,50.2205917, 0.7832097
 0.3203386,50.1554831, 0.8315485
 0.3303492,50.1341676, 0.8050907
 0.3403598,50.0770329, 0.8425235
 0.3503704,50.2292251, 0.7978928
 0.3603810,50.1412072, 0.8225877
 0.3703915,50.1566052, 0.8101243
 0.3804021,50.0639993, 0.8309191
 0.3904127,50.1602334, 0.8110610
 0.4004233,50.1855939, 0.8443555
 0.4104339,50.2412979, 0.8176586
 0.4204444,50.1992704, 0.8252320
 0.4304550,50.2636137, 0.7994550
 0.4404656,50.1917402, 0.8281731
 0.4504762,50.2230390, 0.8097360
 0.4604868,50.2259225, 0.8231091
 0.4704974,50.2623586, 0.7734654
 0.4805079,50.2290222, 0.8040132
 0.4905185,50.1930783, 0.7097180
 0.5005291,50.2234521, 0.8051001
 0.5105397,50.2406531, 0.7804983
 0.5205503,50.2266695, 0.8404133
 0.5305608,50.2505787, 0.8077123
 0.5405714,50.3530290, 0.8415275
 0.5505820,50.2516803, 0.7804803
 0.5605926,50.1710963, 0.8221681
 0.5706032,50.0621779, 0.7965253
 0.5806138,50.0577888, 0.8273371
 0.5906243,50.0919892, 0.7399324
 0.6006349,50.1694008, 0.8056614
 0.6106455,55.5304726, 0.7627258
 0.6206561,63.1875150, 0.8244488
 0.6306667,72.8034184, 0.7789543
 0.6406772,84.1135714, 0.8194860
 0.6506878,96.2863991, 0.7998976
 0.6606984,101.3219828, 0.8524123
 0.6707090,118.4872301, 0.8043969
 0.6807196,128.6273715, 0.8173634
 0.6907302,146.7835986, 0.7847979
 0.7007407,166.3052313, 0.8330594
 0.7107513,185.6810785, 0.6791513
 0.7207619,207.2781976, 0.3029194
 0.7307725,242.0769772, 0.4272260
 0.7407831,258.8454513, 0.6943010
 0.7507937,299.8935418, 0.7292808
 0.7608042,332.0038428, 0.6318904
 0.7708148,332.6004310, 0.4839649
 0.7808254,336.4101384, 0.4561187
 0.7908360,341.5306519, 0.2146078
 0.8008466,336.2324840, 0.1500972
 0.8108571,359.1340456, 0.3648021
 0.8208677,363.5307766, 0.7491307
 0.8308783,365.6573523, 0.8755975
 0.8408889,365.4429147, 0.8808073
 0.8508995,365.6042472, 0.8939926
 0.8609101,366.0932849, 0.8666081
 0.8709206,366.3118762, 0.8670617
 0.8809312,364.9285181, 0.8121420
 0.8909418,363.9578576, 0.6607023
 0.9009524,355.6332140, 0.4495854
 0.9109630,394.0745837, 0.2978012
 0.9209735,394.6297364, 0.2867941
 0.9309841,394.1827380, 0.5809317
 0.9409947,393.3207446, 0.7355714
 0.9510053,395.0143598, 0.7907292
 0.9610159,394.8398253, 0.6637430
 0.9710265,402.3166122, 0.4930609
 0.9810370,403.8868072, 0.4823019
 0.9910476,442.3552377, 0.4853058
 1.0010582,440.7381522, 0.7650509
 1.0110688,440.3257002, 0.8683494
 1.0210794,438.7732117, 0.8877148
 1.0310899,438.2472617, 0.8649259
 1.0411005,437.1877200, 0.8624267
 1.0511111,436.7028968, 0.8457999
 1.0611217,436.5705820, 0.8499014
 1.0711323,436.6689598, 0.8103608
 1.0811429,436.2012690, 0.8290135
 1.0911534,434.6177744, 0.7692977
 1.1011640,434.9085255, 0.7698109
 1.1111746,436.1523867, 0.8143781
 1.1211852,436.6376282, 0.8505161
 1.1311958,437.3502888, 0.8145627
 1.1412063,436.7374939, 0.7799287
 1.1512169,436.0740649, 0.7168537
 1.1612275,435.8509283, 0.8094838
 1.1712381,435.5611573, 0.7983109
 1.1812487,435.7360084, 0.8668101
 1.1912593,399.5354774, 0.4534606
 1.2012698,342.4020469, 0.8298666
 1.2112804,307.6826354, 0.8954577
 1.2212910,272.5337861, 0.9271255
 1.2313016,238.8386493, 0.9298472
 1.2413122,218.5851442, 0.9345434
 1.2513228,218.6801606, 0.9228060
 1.2613333,218.6677684, 0.9312698
 1.2713439,219.1052986, 0.9084223
 1.2813545,219.0207561, 0.9073243
 1.2913651,218.8227519, 0.9156868
 1.3013757,219.0434277, 0.9115399
 1.3113862,219.3235970, 0.8844362
 1.3213968,219.0650003, 0.8877129
 1.3314074,218.8040072, 0.8849239
 1.3414180,218.8308137, 0.8893374
 1.3514286,218.8250367, 0.8918991
 1.3614392,218.8067834, 0.8671477
 1.3714497,219.5415905, 0.7922358
 1.3814603,219.3989332, 0.8226585
 1.3914709,219.2368238, 0.8897913
 1.4014815,219.4757005, 0.8930905
 1.4114921,219.3248574, 0.9026656
 1.4215026,218.9702293, 0.9218602
 1.4315132,218.8423163, 0.9271021
 1.4415238,219.0054238, 0.9211465
 1.4515344,218.9980291, 0.9226533
 1.4615450,219.1007538, 0.9202843
 1.4715556,218.9756314, 0.9136643
 1.4815661,218.5927584, 0.9311594
 1.4915767,218.8173612, 0.9222584
 1.5015873,218.8200548, 0.9265242
 1.5115979,219.0875156, 0.9200777
 1.5216085,219.2851895, 0.8989624
 1.5316190,219.3017848, 0.8674207
 1.5416296,218.8691360, 0.7792957
 1.5516402,218.6494274, 0.5597439
 1.5616508,218.3439820, 0.4493523
 1.5716614,214.0995769, 0.4665678
 1.5816720,215.9900649, 0.6708994
 1.5916825,217.4893846, 0.8241326
 1.6016931,217.9024988, 0.9157507
 1.6117037,218.3401657, 0.9334692
 1.6217143,218.6746782, 0.9229633
 1.6317249,219.0712277, 0.9058250
 1.6417354,220.1800364, 0.8882149
 1.6517460,221.2282785, 0.8835337
 1.6617566,220.8496586, 0.8852328
 1.6717672,219.9921840, 0.8431083
 1.6817778,219.3288964, 0.8193504
 1.6917884,218.8321427, 0.8293459
 1.7017989,218.6860910, 0.8725871
 1.7118095,218.8518940, 0.8776835
 1.7218201,218.6661736, 0.9130932
 1.7318307,219.0698051, 0.8850271
 1.7418413,218.8422327, 0.8291858
 1.7518519,220.0488615, 0.8174825
 1.7618624,219.9834715, 0.8350351
 1.7718730,219.7312677, 0.8715824
 1.7818836,219.2374070, 0.8207569
 1.7918942,218.6130637, 0.8355762
 1.8019048,218.4069045, 0.8516599
 1.8119153,218.7698421, 0.8631499
 1.8219259,218.8951272, 0.8465513
 1.8319365,219.1328070, 0.8658690
 1.8419471,218.8898111, 0.9020504
 1.8519577,218.6920652, 0.9055299
 1.8619683,218.6925075, 0.8510358
 1.8719788,218.9989795, 0.7865540
 1.8819894,217.5726438, 0.7091246
 1.8920000,217.9559167, 0.6745355
 1.9020106,219.3255933, 0.5926420
 1.9120212,220.5879324, 0.7193114
 1.9220317,220.8614268, 0.7867674
 1.9320423,220.8600875, 0.7704707
 1.9420529,219.9097393, 0.7473297
 1.9520635,219.7729351, 0.7833083
 1.9620741,219.3442546, 0.4806537
 1.9720847,218.5433937, 0.6924607
 1.9820952,218.4974238, 0.8045675
 1.9921058,219.0030946, 0.8273478
 2.0021164,219.1872809, 0.8312371
 2.0121270,218.6343408, 0.8335254
 2.0221376,218.4615460, 0.7390842
 2.0321481,218.5835521, 0.6562459
 2.0421587,217.9905696, 0.5886090
 2.0521693,218.0665760, 0.2817799
 2.0621799,218.0906096, 0.6200603
 2.0721905,218.2648263, 0.3631426
 2.0822011,219.1960264, 0.5480326
 2.0922116,218.9200289, 0.6636581
 2.1022222,219.3421487, 0.7941561
 2.1122328,219.8584865, 0.8217435
 2.1222434,220.0056404, 0.8367283
 2.1322540,220.3404978, 0.8327585
 2.1422646,220.6578000, 0.7781082
 2.1522751,220.0942411, 0.7232505
 2.1622857,219.1731156, 0.7961484
 2.1722963,218.8794042, 0.8683355
 2.1823069,218.5576022, 0.8907889
 2.1923175,218.4338328, 0.8925431
 2.2023280,218.7044461, 0.8591337
 2.2123386,219.2636492, 0.8569647
 2.2223492,219.1752264, 0.8349006
 2.2323598,219.1718479, 0.8434548
 2.2423704,218.5041124, 0.8237297
 2.2523810,218.6271216, 0.7544653
 2.2623915,218.9277003, 0.6990047
 2.2724021,219.8509075, 0.8128718
 2.2824127,219.5757277, 0.6202613
 2.2924233,219.3595744, 0.8306721
 2.3024339,218.8082323, 0.8961163
 2.3124444,218.8791146, 0.9102098
 2.3224550,218.3978656, 0.9102916
 2.3324656,218.7780177, 0.9053973
 2.3424762,218.4077436, 0.8550319
 2.3524868,219.2112509, 0.5951121
 2.3624974,218.5852895, 0.7979556
 2.3725079,219.0235775, 0.8936203
 2.3825185,219.1226796, 0.9052724
 2.3925291,219.2647100, 0.9047973
 2.4025397,218.7468143, 0.9113351
 2.4125503,218.8498231, 0.9176681
 2.4225608,218.9620164, 0.9095042
 2.4325714,219.1240586, 0.9105613
 2.4425820,219.2222142, 0.9143794
 2.4525926,219.3530768, 0.9015017
 2.4626032,218.8487295, 0.9234605
 2.4726138,218.8642842, 0.9302355
 2.4826243,218.4453690, 0.9257649
 2.4926349,218.3910082, 0.9286322
 2.5026455,218.5281413, 0.8987572
 2.5126561,219.0452569, 0.8080465
 2.5226667,218.2187939, 0.8618572
 2.5326772,218.7174233, 0.9164314
 2.5426878,219.2551071, 0.8383689
 2.5526984,219.9137847, 0.8119381
 2.5627090,219.6516625, 0.8309719
 2.5727196,219.9014727, 0.8795221
 2.5827302,219.7477139, 0.8903803
 2.5927407,219.3350934, 0.8838226
 2.6027513,218.8654318, 0.8962408
 2.6127619,218.8356924, 0.9049817
 2.6227725,218.6020895, 0.9049547
 2.6327831,218.9134279, 0.9210799
 2.6427937,218.8112498, 0.9053114
 2.6528042,218.7590864, 0.9089907
 2.6628148,218.9323646, 0.9124835
 2.6728254,219.0298982, 0.9063324
 2.6828360,218.7772250, 0.9164931
 2.6928466,219.1330592, 0.8947793
 2.7028571,219.1519517, 0.8463598
 2.7128677,218.8222984, 0.7411274
 2.7228783,218.1252663, 0.4660195
 2.7328889,218.4411621, 0.6928677
 2.7428995,217.4460256, 0.7141405
 2.7529101,216.9275129, 0.6300433
 2.7629206,217.2209089, 0.8717018
 2.7729312,217.8123657, 0.9187338
 2.7829418,217.9484742, 0.9144810
 2.7929524,218.3037646, 0.9343648
 2.8029630,218.4816474, 0.9338792
 2.8129735,219.4165128, 0.8820637
 2.8229841,220.5041043, 0.9067976
 2.8329947,221.1283024, 0.8918849
 2.8430053,220.7926341, 0.8886161
 2.8530159,219.8710649, 0.8557993
 2.8630265,219.1100884, 0.8472227
 2.8730370,218.9235360, 0.8722304
 2.8830476,218.8580544, 0.8171763
 2.8930582,219.2709583, 0.8382177
 2.9030688,219.5718865, 0.8298600
 2.9130794,219.3248881, 0.8189691
 2.9230899,219.3908104, 0.7284904
 2.9331005,218.2633464, 0.6879208
 2.9431111,218.3535269, 0.8446689
 2.9531217,219.0283668, 0.9120600
 2.9631323,219.4311207, 0.9022382
 2.9731429,219.3791123, 0.8945630
 2.9831534,219.2497994, 0.9072128
 2.9931640,219.3112798, 0.8995904
 3.0031746,218.7256111, 0.9056190
 3.0131852,218.4676590, 0.9313222
 3.0231958,218.6112475, 0.9170570
 3.0332063,219.0097333, 0.9091649
 3.0432169,219.2743581, 0.8775440
 3.0532275,219.1583900, 0.8123722
