time,frequency,confidence
 0.0000000,51.1006037, 0.1391626
 0.0100106,50.7087380, 0.5682797
 0.0200212,50.3411258, 0.8289053
 0.0300317,50.2365161, 0.7568767
 0.0400423,50.1120954, 0.7945815
 0.0500529,50.1430712, 0.7734628
 0.0600635,50.0718656, 0.8450486
 0.0700741,50.2090277, 0.7705102
 0.0800847,50.1766075, 0.8325903
 0.0900952,50.2812572, 0.8226857
 0.1001058,50.2501737, 0.8448817
 0.1101164,50.2670279, 0.8354196
 0.1201270,50.0237906, 0.8565200
 0.1301376,49.9484825, 0.8567159
 0.1401481,49.9016055, 0.8600858
 0.1501587,50.1157601, 0.8015852
 0.1601693,50.2207735, 0.8124081
 0.1701799,50.2057987, 0.8105502
 0.1801905,50.1764185, 0.8445653
 0.1902011,50.1516513, 0.8286185
 0.2002116,49.9918869, 0.8588865
 0.2102222,50.0757766, 0.8102139
 0.2202328,50.0100618, 0.8305590
 0.2302434,50.1085895, 0.8160126
 0.2402540,50.1448142, 0.8363093
 0.2502646,50.1921413, 0.7924399
 0.2602751,49.9860845, 0.8592559
 0.2702857,49.9463101, 0.8286674
 0.2802963,49.8996779, 0.8751153
 0.2903069,50.0332646, 0.7784832
 0.3003175,50.0639876, 0.8400689
 0.3103280,50.2463184, 0.8319304
 0.3203386,50.0932727, 0.8515964
 0.3303492,50.2044248, 0.8209386
 0.3403598,50.1090819, 0.8302298
 0.3503704,50.0994889, 0.7979090
 0.3603810,50.1292251, 0.7951471
 0.3703915,50.1975799, 0.8263608
 0.3804021,50.2498051, 0.8474671
 0.3904127,50.2397325, 0.7937973
 0.4004233,50.0487176, 0.8303601
 0.4104339,50.0448510, 0.8244365
 0.4204444,50.1704286, 0.8032532
 0.4304550,50.3153131, 0.7084184
 0.4404656,50.2042142, 0.7918344
 0.4504762,50.1309201, 0.7700341
 0.4604868,50.1146558, 0.7853262
 0.4704974,50.0724224, 0.7372205
 0.4805079,50.1122829, 0.7444221
 0.4905185,50.1177176, 0.7072991
 0.5005291,50.2436399, 0.7773177
 0.5105397,50.2437982, 0.6464850
 0.5205503,50.2641949, 0.7943873
 0.5305608,50.2626815, 0.8085445
 0.5405714,50.2519892, 0.8548864
 0.5505820,50.1552490, 0.7848469
 0.5605926,50.0250749, 0.8434525
 0.5706032,50.0062659, 0.8153092
 0.5806138,49.9366955, 0.8394772
 0.5906243,50.0720770, 0.7963858
 0.6006349,50.1208425, 0.8164122
 0.6106455,50.1356009, 0.7573054
 0.6206561,50.2064445, 0.7863840
 0.6306667,50.2308329, 0.8041665
 0.6406772,50.2935843, 0.8213055
 0.6506878,50.1000889, 0.7684898
 0.6606984,50.0586522, 0.7745081
 0.6707090,50.0258495, 0.7798809
 0.6807196,55.0120547, 0.7969258
 0.6907302,62.1015057, 0.7877485
 0.7007407,72.4841791, 0.1072599
 0.7107513,83.0057388, 0.0233066
 0.7207619,89.3750221, 0.1984929
 0.7307725,100.8155263, 0.2486592
 0.7407831,117.5542762, 0.7760062
 0.7507937,129.3511847, 0.8479124
 0.7608042,146.1779727, 0.8644764
 0.7708148,163.8224427, 0.8715497
 0.7808254,183.4343356, 0.8882068
 0.7908360,201.6194251, 0.9017536
 0.8008466,237.1172716, 0.7815896
 0.8108571,252.8979865, 0.6849848
 0.8208677,296.2652791, 0.4527178
 0.8308783,329.2613212, 0.2291370
 0.8408889,358.9458432, 0.1916539
 0.8508995,402.6656895, 0.2526340
 0.8609101,480.5256294, 0.3807375
 0.8709206,500.8765086, 0.5965443
 0.8809312,586.4945343, 0.5250790
 0.8909418,657.7109908, 0.5048296
 0.9009524,658.1198812, 0.6674561
 0.9109630,714.7205161, 0.6689125
 0.9209735,801.9046806, 0.5942945
 0.9309841,927.8843124, 0.4908887
 0.9409947,983.7640770, 0.6132485
 0.9510053,986.2094244, 0.7114337
 0.9610159,985.6544193, 0.7904600
 0.9710265,983.3257458, 0.8726421
 0.9810370,980.1813258, 0.8607330
 0.9910476,979.3612776, 0.8341171
 1.0010582,980.2750320, 0.8009187
 1.0110688,981.6500392, 0.7393843
 1.0210794,982.7573441, 0.6864336
 1.0310899,982.1866612, 0.7786120
 1.0411005,980.2266736, 0.8226677
 1.0511111,980.1343248, 0.8102514
 1.0611217,979.6944369, 0.8054873
 1.0711323,976.7640747, 0.8279913
 1.0811429,977.1807457, 0.7364246
 1.0911534,978.1486795, 0.5670174
 1.1011640,982.2045526, 0.5729275
 1.1111746,982.6305941, 0.7881995
 1.1211852,980.9644303, 0.8849952
 1.1311958,980.9952215, 0.9097733
 1.1412063,981.3678571, 0.9101247
 1.1512169,981.1561087, 0.9104391
 1.1612275,980.1489003, 0.8943831
 1.1712381,980.9062582, 0.7969517
 1.1812487,983.7810894, 0.7581366
 1.1912593,983.1158520, 0.5864994
 1.2012698,919.3361016, 0.6722432
 1.2112804,804.0127207, 0.8227048
 1.2212910,697.9182372, 0.8092015
 1.2313016,657.4605166, 0.7873092
 1.2413122,657.4163635, 0.7886677
 1.2513228,657.5074423, 0.7593245
 1.2613333,657.7467927, 0.7787825
 1.2713439,657.6832350, 0.7748688
 1.2813545,657.5343810, 0.7243874
 1.2913651,657.4521924, 0.6892936
 1.3013757,657.5956073, 0.6535448
 1.3113862,657.4299156, 0.5948239
 1.3213968,661.0522835, 0.5445194
 1.3314074,688.7794083, 0.6464933
 1.3414180,756.3955260, 0.6828235
