time,frequency,confidence
 0.0000000,50.9073231, 0.0970114
 0.0100106,50.6872566, 0.6007927
 0.0200212,50.3341092, 0.8373085
 0.0300317,50.2857343, 0.7191409
 0.0400423,50.0887856, 0.7664897
 0.0500529,50.1676481, 0.7491869
 0.0600635,50.0612398, 0.8074148
 0.0700741,50.1994703, 0.7729580
 0.0800847,50.1254038, 0.8101621
 0.0900952,50.1364780, 0.7427893
 0.1001058,49.9835682, 0.8074234
 0.1101164,50.0385699, 0.7891296
 0.1201270,50.0633671, 0.8120790
 0.1301376,50.0949195, 0.7964008
 0.1401481,50.0783826, 0.8316743
 0.1501587,50.0972362, 0.7825326
 0.1601693,50.0795124, 0.8148808
 0.1701799,50.0907736, 0.7878644
 0.1801905,50.0738022, 0.8125249
 0.1902011,50.1193227, 0.7875763
 0.2002116,50.1117405, 0.8210540
 0.2102222,50.1317845, 0.7866390
 0.2202328,50.0186104, 0.8533203
 0.2302434,50.1129811, 0.7734694
 0.2402540,50.0551623, 0.8354082
 0.2502646,50.1710264, 0.7639896
 0.2602751,50.0717706, 0.8456253
 0.2702857,50.0910285, 0.7289962
 0.2802963,50.0388386, 0.8198178
 0.2903069,50.1850264, 0.7058433
 0.3003175,50.0921442, 0.8248041
 0.3103280,50.1041636, 0.7663770
 0.3203386,50.0115941, 0.8499099
 0.3303492,50.0627794, 0.7638398
 0.3403598,50.1730105, 0.8254045
 0.3503704,50.2519747, 0.7464705
 0.3603810,50.2676464, 0.8121578
 0.3703915,50.2717496, 0.7113211
 0.3804021,50.2095847, 0.8074873
 0.3904127,50.1786204, 0.7180519
 0.4004233,50.1390315, 0.7990648
 0.4104339,50.1292436, 0.7158316
 0.4204444,50.1802599, 0.7966170
 0.4304550,50.2120972, 0.6845391
 0.4404656,50.1980226, 0.7865207
 0.4504762,50.1718879, 0.7190508
 0.4604868,50.1861997, 0.7951331
 0.4704974,50.1742143, 0.6909809
 0.4805079,50.1671376, 0.8183085
 0.4905185,50.1904145, 0.7877539
 0.5005291,50.0928700, 0.8405652
 0.5105397,50.1343607, 0.7656351
 0.5205503,50.1041860, 0.8182279
 0.5305608,50.1273414, 0.7453642
 0.5405714,50.0211288, 0.8209415
 0.5505820,50.0757733, 0.7260559
 0.5605926,49.9978572, 0.8191415
 0.5706032,50.0781862, 0.7462766
 0.5806138,49.9755537, 0.8114862
 0.5906243,50.0358758, 0.7521062
 0.6006349,50.0513264, 0.7990924
 0.6106455,50.0714530, 0.7820726
 0.6206561,50.1078772, 0.7915776
 0.6306667,50.0858321, 0.8024346
 0.6406772,50.2496337, 0.8336402
 0.6506878,50.1721404, 0.7722414
 0.6606984,50.2609623, 0.8007561
 0.6707090,50.0802881, 0.6099243
 0.6807196,50.1935585, 0.7446879
 0.6907302,50.0295775, 0.6593328
 0.7007407,50.2126820, 0.7995754
 0.7107513,50.1951517, 0.5823146
 0.7207619,50.2285592, 0.4858799
 0.7307725,53.3232348, 0.5912746
 0.7407831,57.4337247, 0.4265451
 0.7507937,62.4772557, 0.4342174
 0.7608042,67.2059242, 0.4444323
 0.7708148,73.0235805, 0.5537427
 0.7808254,79.1545010, 0.5941600
 0.7908360,84.8136791, 0.5429336
 0.8008466,90.0834359, 0.2448885
 0.8108571,95.7030544, 0.2867006
 0.8208677,102.4476130, 0.3645823
 0.8308783,110.7410980, 0.2592784
 0.8408889,117.6430025, 0.4291308
 0.8508995,124.7247680, 0.4328672
 0.8609101,136.2217475, 0.3454899
 0.8709206,145.1189137, 0.1981577
 0.8809312,157.0502696, 0.2380558
 0.8909418,172.4040954, 0.2167752
 0.9009524,179.6112367, 0.2420878
 0.9109630,199.7663034, 0.4888842
 0.9209735,211.4807056, 0.5812002
 0.9309841,233.5623373, 0.5311376
 0.9409947,252.3931877, 0.4510965
 0.9510053,268.1842958, 0.3656313
 0.9610159,294.4398880, 0.2126379
 0.9710265,323.8864011, 0.2292018
 0.9810370,350.7599061, 0.2742966
 0.9910476,366.9359207, 0.1598963
 1.0010582,418.4210845, 0.0551059
 1.0110688,438.2558166, 0.2674695
 1.0210794,436.9899629, 0.5875788
 1.0310899,437.8019142, 0.7006061
 1.0411005,437.2158122, 0.7780684
 1.0511111,437.7094010, 0.8003168
 1.0611217,438.0049849, 0.8139583
 1.0711323,438.1840381, 0.7400609
 1.0811429,437.1769868, 0.5519704
 1.0911534,434.3257448, 0.1986376
 1.1011640,425.7509305, 0.1243975
 1.1111746,410.4342710, 0.1169067
 1.1211852,362.0081960, 0.2661152
 1.1311958,346.3402058, 0.3190219
 1.1412063,334.3288437, 0.5367273
 1.1512169,299.3628517, 0.3434098
 1.1612275,282.7194478, 0.4885381
 1.1712381,254.2246100, 0.2858098
 1.1812487,243.8133979, 0.3119211
 1.1912593,219.9506765, 0.5477469
 1.2012698,219.5671744, 0.7165410
 1.2112804,219.6309169, 0.7848819
 1.2212910,219.1264394, 0.8551642
 1.2313016,218.9980051, 0.8470588
 1.2413122,219.7142835, 0.8486744
 1.2513228,220.2361293, 0.8520388
 1.2613333,219.9497717, 0.8332491
 1.2713439,219.9582958, 0.7584221
 1.2813545,219.2038136, 0.7754840
 1.2913651,219.2800561, 0.7689238
 1.3013757,220.2051486, 0.7449216
 1.3113862,221.1127867, 0.8033285
 1.3213968,220.2047613, 0.7525684
 1.3314074,220.6046118, 0.7003962
 1.3414180,220.0840937, 0.6037372
 1.3514286,218.9365450, 0.4782211
 1.3614392,218.3245417, 0.4233901
 1.3714497,220.2310716, 0.5146459
 1.3814603,219.4738717, 0.5575348
 1.3914709,219.4995658, 0.5546715
 1.4014815,219.0482704, 0.6279652
 1.4114921,219.2739359, 0.6719182
 1.4215026,219.3889156, 0.7076967
 1.4315132,219.6639425, 0.6994334
 1.4415238,219.2558405, 0.7362911
 1.4515344,219.1453141, 0.6441166
 1.4615450,219.1301602, 0.5722318
 1.4715556,219.5718503, 0.6062989
 1.4815661,219.3502409, 0.6712005
 1.4915767,219.8615811, 0.5530526
 1.5015873,218.6595988, 0.5798476
 1.5115979,217.9233405, 0.6782820
 1.5216085,227.7397821, 0.4155645
 1.5316190,248.3353367, 0.2196854
 1.5416296,250.4098854, 0.3604723
 1.5516402,249.8080533, 0.2909415
 1.5616508,247.7810686, 0.3034333
 1.5716614,235.0367247, 0.1467934
 1.5816720,223.5059862, 0.3153667
 1.5916825,221.1457875, 0.4252586
 1.6016931,219.1667507, 0.5610583
 1.6117037,219.5542418, 0.6252568
 1.6217143,219.7034013, 0.5634902
 1.6317249,220.2018274, 0.5377727
 1.6417354,220.0711397, 0.6568889
 1.6517460,221.4102275, 0.7183438
 1.6617566,221.0807797, 0.6570312
 1.6717672,247.4400341, 0.7335047
 1.6817778,272.9550407, 0.6811053
 1.6917884,309.5533933, 0.6379076
 1.7017989,342.2281288, 0.6858527
 1.7118095,397.6349519, 0.7004365
 1.7218201,438.1806531, 0.6703064
 1.7318307,438.6824235, 0.7766115
 1.7418413,439.0737232, 0.5964115
 1.7518519,437.6682335, 0.6130994
 1.7618624,437.1165230, 0.6509423
 1.7718730,436.7775255, 0.6139758
 1.7818836,437.2799945, 0.6115601
 1.7918942,437.3323740, 0.7635647
 1.8019048,437.0178101, 0.8348283
 1.8119153,438.0555180, 0.8031819
 1.8219259,437.8250080, 0.8006481
 1.8319365,438.1350687, 0.7989218
 1.8419471,438.2226030, 0.7358490
 1.8519577,438.5456169, 0.7526925
 1.8619683,438.3004501, 0.7176167
 1.8719788,439.5613929, 0.3587655
 1.8819894,424.3294753, 0.1369097
 1.8920000,386.9359821, 0.2755221
 1.9020106,346.2311287, 0.3262556
 1.9120212,335.5560287, 0.5616651
 1.9220317,338.0899720, 0.6387339
 1.9320423,338.1010396, 0.6675822
 1.9420529,336.7939963, 0.5552279
 1.9520635,333.7434166, 0.3727581
 1.9620741,350.3351750, 0.2763718
 1.9720847,356.4819041, 0.2897962
 1.9820952,359.8144525, 0.3045548
 1.9921058,361.7343587, 0.3050459
 2.0021164,362.0455791, 0.2853158
