time,frequency,confidence
 0.0000000,49.0882511, 0.0297316
 0.0100106,49.0918461, 0.0091108
 0.0200212,49.3075280, 0.0620113
 0.0300317,50.3513422, 0.0623970
 0.0400423,50.8052428, 0.6235754
 0.0500529,50.4596182, 0.6930864
 0.0600635,50.0405903, 0.7219747
 0.0700741,49.6692457, 0.5618433
 0.0800847,49.6760947, 0.6962817
 0.0900952,50.8777738, 0.5159653
 0.1001058,50.9959003, 0.5830857
 0.1101164,51.4350224, 0.4373055
 0.1201270,51.5974554, 0.4455687
 0.1301376,51.3552071, 0.3541001
 0.1401481,51.1362337, 0.5091616
 0.1501587,50.8196916, 0.6009821
 0.1601693,50.7052715, 0.5546639
 0.1701799,51.4300445, 0.4516766
 0.1801905,51.3230480, 0.6771815
 0.1902011,51.2175134, 0.7178293
 0.2002116,50.5877040, 0.5386413
 0.2102222,51.0409905, 0.2938276
 0.2202328,51.0462369, 0.1449199
 0.2302434,51.7251821, 0.1339398
 0.2402540,51.5022001, 0.1715555
 0.2502646,51.6731458, 0.0619442
 0.2602751,51.8973422, 0.2728011
 0.2702857,51.2384666, 0.3856153
 0.2802963,50.8777546, 0.3990462
 0.2903069,50.8223277, 0.5507743
 0.3003175,50.7086419, 0.6628205
 0.3103280,50.4664017, 0.5004795
 0.3203386,49.9354879, 0.3551991
 0.3303492,49.9289232, 0.4769686
 0.3403598,50.8758585, 0.6279660
 0.3503704,51.0885947, 0.6690829
 0.3603810,51.4680663, 0.5199573
 0.3703915,51.5982136, 0.5140923
 0.3804021,51.3175254, 0.1379865
 0.3904127,51.4820041, 0.0780912
 0.4004233,51.2472204, 0.1128153
 0.4104339,50.4649940, 0.5112118
 0.4204444,50.2736111, 0.5600865
 0.4304550,50.3429486, 0.5401886
 0.4404656,50.4615693, 0.6023438
 0.4504762,50.5907151, 0.6631220
 0.4604868,50.7123367, 0.4751592
 0.4704974,50.6076428, 0.3913816
 0.4805079,51.3085493, 0.4980352
 0.4905185,51.1382983, 0.3949234
 0.5005291,50.8565652, 0.5337728
 0.5105397,50.6974613, 0.5106764
 0.5205503,50.5689815, 0.4991544
 0.5305608,50.3950814, 0.3872305
 0.5405714,49.7151111, 0.3917353
 0.5505820,49.5867458, 0.4477599
 0.5605926,49.5186481, 0.3835016
 0.5706032,49.7333598, 0.0710391
 0.5806138,50.0581003, 0.1713984
 0.5906243,49.4056823, 0.2446483
 0.6006349,50.6274510, 0.5019733
 0.6106455,50.3442435, 0.6020694
 0.6206561,50.3814249, 0.7116996
 0.6306667,50.1310396, 0.4019772
 0.6406772,50.3863723, 0.4370601
 0.6506878,51.1057845, 0.4937988
 0.6606984,51.3776164, 0.1600226
 0.6707090,57.3374502, 0.2410773
 0.6807196,63.9013087, 0.1238174
 0.6907302,71.9905666, 0.0756243
 0.7007407,82.8069493, 0.0897596
 0.7107513,91.4025315, 0.3945694
 0.7207619,102.0098560, 0.4984619
 0.7307725,114.2378607, 0.7547312
 0.7407831,131.2227208, 0.8283706
 0.7507937,144.2111350, 0.8056836
 0.7608042,162.7450345, 0.8316683
 0.7708148,185.0424949, 0.8316461
 0.7808254,209.2361961, 0.7676013
 0.7908360,234.5042556, 0.6214761
 0.8008466,266.2940013, 0.4342035
 0.8108571,287.0875203, 0.4268135
 0.8208677,329.7009322, 0.3743751
 0.8308783,365.4042392, 0.6534839
 0.8408889,366.0044642, 0.7629718
 0.8508995,365.7180271, 0.7069222
 0.8609101,366.5112626, 0.4912427
 0.8709206,367.2637269, 0.5352038
 0.8809312,368.9761756, 0.4793174
 0.8909418,387.0969117, 0.3927472
 0.9009524,393.3612533, 0.5941509
 0.9109630,394.2807769, 0.6416190
 0.9209735,393.0520910, 0.5825330
 0.9309841,392.6816548, 0.5684811
 0.9409947,392.2253167, 0.6117705
 0.9510053,390.8464341, 0.5027625
 0.9610159,387.9879346, 0.4448740
 0.9710265,380.3823082, 0.1863900
 0.9810370,366.9723270, 0.2441515
 0.9910476,374.5168612, 0.2088820
 1.0010582,397.6713881, 0.3323233
 1.0110688,433.0958614, 0.2446277
 1.0210794,441.6507792, 0.1711411
 1.0310899,442.7980019, 0.2025041
 1.0411005,441.7178140, 0.1618032
 1.0511111,438.9240788, 0.1793061
 1.0611217,438.7367043, 0.1972238
 1.0711323,440.4046970, 0.1800501
 1.0811429,442.7422803, 0.2530910
 1.0911534,444.5988626, 0.4464383
 1.1011640,445.8908039, 0.4039715
 1.1111746,444.7383430, 0.2991224
 1.1211852,443.7192007, 0.3418356
 1.1311958,443.2545291, 0.3234569
 1.1412063,443.2336821, 0.2833926
 1.1512169,442.7359577, 0.2126608
 1.1612275,444.1930756, 0.2834201
 1.1712381,444.4559322, 0.2858602
 1.1812487,444.1720223, 0.3045976
 1.1912593,390.8098989, 0.3382922
 1.2012698,356.0475916, 0.3997542
 1.2112804,303.1163252, 0.4291147
