time,frequency,confidence
 0.0000000,50.1803047, 0.0124870
 0.0100106,50.1693448, 0.2759568
 0.0200212,49.8684059, 0.8377519
 0.0300317,49.8035281, 0.8292351
 0.0400423,49.8853247, 0.8441284
 0.0500529,50.1128358, 0.7662891
 0.0600635,50.1956910, 0.8393218
 0.0700741,50.3896082, 0.8859681
 0.0800847,50.2450221, 0.8720168
 0.0900952,50.2619943, 0.8722100
 0.1001058,50.0845818, 0.8597432
 0.1101164,50.0952327, 0.8153545
 0.1201270,50.0738203, 0.8174056
 0.1301376,50.1273457, 0.7715158
 0.1401481,49.9608734, 0.8100157
 0.1501587,49.8180614, 0.7993508
 0.1601693,49.8640475, 0.8225194
 0.1701799,49.8829177, 0.8503711
 0.1801905,49.9946589, 0.8753925
 0.1902011,50.0723121, 0.8084663
 0.2002116,50.1687601, 0.8213259
 0.2102222,50.2453821, 0.8550887
 0.2202328,50.3065273, 0.8399645
 0.2302434,50.1507568, 0.7675021
 0.2402540,50.1331628, 0.7743767
 0.2502646,50.0353885, 0.7737057
 0.2602751,49.9532002, 0.8145574
 0.2702857,50.1978227, 0.7053366
 0.2802963,49.9519085, 0.8381444
 0.2903069,49.8832966, 0.8403829
 0.3003175,49.9703294, 0.8524954
 0.3103280,50.0634056, 0.8204937
 0.3203386,50.1224701, 0.8192925
 0.3303492,50.2068681, 0.7989987
 0.3403598,49.9814981, 0.8604152
 0.3503704,50.0837020, 0.7919926
 0.3603810,50.2162767, 0.8359122
 0.3703915,50.1595865, 0.8181858
 0.3804021,50.1118275, 0.8279212
 0.3904127,50.2882538, 0.7715850
 0.4004233,49.9683316, 0.7334633
 0.4104339,49.9159867, 0.7481116
 0.4204444,50.1002092, 0.8092340
 0.4304550,50.2044238, 0.8168754
 0.4404656,50.3680217, 0.8176385
 0.4504762,50.3905554, 0.8420494
 0.4604868,50.2509309, 0.8170323
 0.4704974,50.0450805, 0.7955503
 0.4805079,50.0973238, 0.8037616
 0.4905185,50.0515387, 0.7469338
 0.5005291,50.0423409, 0.7481357
 0.5105397,50.0234289, 0.6619562
 0.5205503,49.9453890, 0.7456272
 0.5305608,49.9953158, 0.7911068
 0.5405714,50.2369933, 0.8700356
 0.5505820,50.3149556, 0.8486124
 0.5605926,50.3119671, 0.8154413
 0.5706032,50.2457494, 0.8238740
