time,frequency,confidence
 0.0000000,50.7764612, 0.0304695
 0.0100106,50.5446534, 0.1472991
 0.0200212,50.2124974, 0.7057796
 0.0300317,50.1940168, 0.6790538
 0.0400423,50.0227154, 0.7718148
 0.0500529,50.4021941, 0.7690589
 0.0600635,50.2407465, 0.8448328
 0.0700741,50.3280957, 0.8280461
 0.0800847,50.0624927, 0.8353326
 0.0900952,50.1793165, 0.7953246
 0.1001058,50.0281868, 0.8584053
 0.1101164,50.0980297, 0.8666755
 0.1201270,49.9981095, 0.8510013
 0.1301376,50.0722644, 0.8396382
 0.1401481,50.0079625, 0.8517937
 0.1501587,49.9404005, 0.7981278
 0.1601693,49.9710607, 0.7979382
 0.1701799,50.1006369, 0.8186521
 0.1801905,50.2453639, 0.8472629
 0.1902011,50.1048421, 0.8543981
 0.2002116,50.2166247, 0.8114220
 0.2102222,50.4535829, 0.7836004
 0.2202328,50.4804523, 0.8389387
 0.2302434,50.3921602, 0.8136979
 0.2402540,50.2108756, 0.8157837
 0.2502646,50.1377077, 0.8421301
 0.2602751,49.9048155, 0.8728836
 0.2702857,49.7270996, 0.8513921
 0.2802963,49.6964675, 0.8591655
 0.2903069,49.8561798, 0.7591830
 0.3003175,50.1230529, 0.7975761
 0.3103280,50.2411310, 0.8060370
 0.3203386,50.2125253, 0.8379843
 0.3303492,50.1838532, 0.8599274
 0.3403598,50.1351690, 0.8695069
 0.3503704,50.2659394, 0.8363371
 0.3603810,50.0579613, 0.8026186
 0.3703915,50.0516678, 0.8279153
 0.3804021,50.0057079, 0.8423674
 0.3904127,49.9628336, 0.8326721
 0.4004233,49.9662472, 0.8477167
 0.4104339,49.9869686, 0.8250700
 0.4204444,50.0571817, 0.8213966
 0.4304550,50.2230615, 0.8108518
 0.4404656,50.2276570, 0.8440601
 0.4504762,50.2214945, 0.8035613
 0.4604868,50.2103133, 0.8269564
 0.4704974,50.3263489, 0.2677082
 0.4805079,51.0466523, 0.1361930
 0.4905185,51.2479284, 0.1439059
 0.5005291,51.4349505, 0.5820307
 0.5105397,51.4559473, 0.4836444
 0.5205503,50.8292080, 0.0771568
 0.5305608,50.2686833, 0.7156666
 0.5405714,50.2398929, 0.8038568
 0.5505820,50.1017241, 0.7754589
 0.5605926,50.0850180, 0.8292454
 0.5706032,50.1090950, 0.8302659
 0.5806138,49.9488162, 0.8529221
 0.5906243,49.9438043, 0.8443753
 0.6006349,49.9669410, 0.8766268
 0.6106455,50.0439251, 0.8514045
