time,frequency,confidence
 0.0000000,50.1392891, 0.0377541
 0.0100106,50.4155457, 0.0258065
 0.0200212,50.4463200, 0.0481672
 0.0300317,49.9503035, 0.7736331
 0.0400423,49.9893661, 0.6973124
 0.0500529,50.0539920, 0.6712003
 0.0600635,50.1165878, 0.7425404
 0.0700741,50.0575474, 0.4568837
 0.0800847,50.2058089, 0.5764711
 0.0900952,49.8246236, 0.7127801
 0.1001058,49.8917356, 0.7139347
 0.1101164,50.0453349, 0.7133844
 0.1201270,50.1949084, 0.7994983
 0.1301376,50.1908783, 0.8304757
 0.1401481,50.2194357, 0.8393539
 0.1501587,50.3048286, 0.8248527
 0.1601693,50.3119757, 0.8498547
 0.1701799,50.3225033, 0.8271766
 0.1801905,50.4644058, 0.7924560
 0.1902011,50.0236610, 0.7124041
 0.2002116,49.6798362, 0.7697368
 0.2102222,49.5037014, 0.8406793
 0.2202328,49.6600644, 0.8453805
 0.2302434,49.7216339, 0.7440901
 0.2402540,49.8585461, 0.8149500
 0.2502646,49.7270591, 0.8448355
 0.2602751,49.7237707, 0.8481810
 0.2702857,49.7785036, 0.8322970
 0.2802963,49.8563844, 0.8667002
 0.2903069,50.1078208, 0.7996399
 0.3003175,50.3414121, 0.8508026
 0.3103280,50.3575947, 0.8083181
 0.3203386,49.9641749, 0.4783867
 0.3303492,49.3743684, 0.4909781
 0.3403598,49.5595165, 0.4473333
 0.3503704,49.7446977, 0.4905486
 0.3603810,50.3121059, 0.6562364
 0.3703915,50.4363148, 0.8040658
 0.3804021,50.4282421, 0.7538514
 0.3904127,50.3897229, 0.7958016
 0.4004233,50.2370780, 0.7741271
 0.4104339,49.8678771, 0.7024232
 0.4204444,49.7356118, 0.7765524
 0.4304550,49.9585390, 0.7716290
 0.4404656,50.0188534, 0.8287317
 0.4504762,50.1825119, 0.8078015
 0.4604868,50.1473091, 0.7697852
 0.4704974,50.0658315, 0.7085431
 0.4805079,49.9388858, 0.7516418
 0.4905185,50.1040866, 0.7331097
 0.5005291,50.2096110, 0.7725016
 0.5105397,50.2800918, 0.8028286
 0.5205503,50.2922573, 0.7255499
 0.5305608,50.0438813, 0.6727009
 0.5405714,49.9553388, 0.7173965
 0.5505820,49.9514658, 0.7355408
 0.5605926,55.2134507, 0.6455210
 0.5706032,62.3177423, 0.7314807
 0.5806138,73.2759283, 0.8400925
 0.5906243,81.9829573, 0.3949526
 0.6006349,93.5056780, 0.2883668
 0.6106455,101.9478793, 0.0759067
 0.6206561,114.8096871, 0.0808754
 0.6306667,129.6254385, 0.1313352
 0.6406772,144.4947578, 0.2193198
 0.6506878,163.0361651, 0.7587934
 0.6606984,181.8317474, 0.7937254
 0.6707090,202.3433885, 0.7891959
 0.6807196,238.0083220, 0.5648139
 0.6907302,268.1905953, 0.2167478
 0.7007407,292.9350564, 0.1696106
 0.7107513,325.3433031, 0.5710934
 0.7207619,326.5475145, 0.7878485
 0.7307725,327.3117632, 0.9012673
 0.7407831,327.6614600, 0.9315415
 0.7507937,327.6468299, 0.9557568
 0.7608042,327.5135005, 0.9660890
 0.7708148,327.5242991, 0.9681510
 0.7808254,327.6547308, 0.9657446
 0.7908360,328.0679891, 0.9367950
 0.8008466,328.9019155, 0.8592143
 0.8108571,330.2749886, 0.6791759
 0.8208677,342.7049259, 0.3864110
 0.8308783,356.6675823, 0.6512011
 0.8408889,362.7837965, 0.8049986
 0.8508995,363.3231514, 0.7792149
 0.8609101,362.6175719, 0.8019733
 0.8709206,363.5179093, 0.7784785
 0.8809312,364.6679088, 0.7080638
 0.8909418,365.6574423, 0.4985920
 0.9009524,336.0162118, 0.4205254
 0.9109630,331.8688952, 0.6074113
 0.9209735,330.2071039, 0.7377200
 0.9309841,329.3665502, 0.7973627
 0.9409947,328.6038271, 0.8525583
 0.9510053,328.3517572, 0.8731408
 0.9610159,329.5709580, 0.8350989
 0.9710265,331.8808177, 0.6712838
 0.9810370,348.3838577, 0.2966798
 0.9910476,388.3090745, 0.4107575
 1.0010582,443.9329404, 0.7144168
 1.0110688,445.7904176, 0.8861454
 1.0210794,444.8930105, 0.9007122
 1.0310899,443.6137852, 0.9111793
 1.0411005,440.5735798, 0.9535219
 1.0511111,438.6981486, 0.9250259
 1.0611217,438.0451177, 0.8817169
 1.0711323,436.9631506, 0.8536286
 1.0811429,438.8326294, 0.8534945
 1.0911534,442.2251028, 0.7844032
 1.1011640,443.0471855, 0.6180566
 1.1111746,443.4746248, 0.7402697
 1.1211852,442.5618351, 0.8399229
 1.1311958,440.3933539, 0.7554981
 1.1412063,441.0114451, 0.7536632
 1.1512169,440.8941713, 0.4490152
 1.1612275,440.1650620, 0.5326225
 1.1712381,438.6464480, 0.3744830
 1.1812487,427.4868296, 0.4705510
 1.1912593,394.7666906, 0.4765529
 1.2012698,374.5581712, 0.4769993
 1.2112804,347.8848114, 0.6043794
 1.2212910,330.0611478, 0.4747238
 1.2313016,328.1368249, 0.7215171
 1.2413122,328.0097534, 0.7896475
 1.2513228,328.2391341, 0.8190544
 1.2613333,328.2459380, 0.8195975
 1.2713439,328.3906372, 0.7084723
 1.2813545,328.1615218, 0.6826549
 1.2913651,327.9230406, 0.5548918
 1.3013757,321.8553319, 0.5513586
 1.3113862,298.4330156, 0.5861306
 1.3213968,272.9961308, 0.5697635
 1.3314074,258.6639384, 0.5875039
 1.3414180,240.8291369, 0.6179298
 1.3514286,221.6199816, 0.5897270
 1.3614392,218.4690259, 0.5853807
 1.3714497,219.1959259, 0.6018690
 1.3814603,219.2263822, 0.7818978
 1.3914709,219.6278696, 0.7869393
 1.4014815,219.8300617, 0.8472934
 1.4114921,219.5912622, 0.8264074
 1.4215026,219.4292594, 0.8381611
 1.4315132,219.0239753, 0.8969986
 1.4415238,218.4707035, 0.9079554
 1.4515344,218.1644781, 0.8947406
 1.4615450,218.0691662, 0.7989559
 1.4715556,218.1161441, 0.8393731
 1.4815661,218.1857627, 0.8516910
 1.4915767,218.3461964, 0.8405051
 1.5015873,218.2952102, 0.8906017
 1.5115979,218.1889695, 0.9104597
 1.5216085,218.9746701, 0.8719556
 1.5316190,220.7159277, 0.7368108
 1.5416296,221.6572185, 0.4119944
 1.5516402,235.6542099, 0.2295709
 1.5616508,244.4453998, 0.1707564
 1.5716614,260.1443266, 0.4409808
 1.5816720,282.9860766, 0.6374429
 1.5916825,318.1736486, 0.5079963
 1.6016931,327.6465464, 0.6306248
 1.6117037,327.5925953, 0.8180788
 1.6217143,327.7593436, 0.9036791
 1.6317249,327.7884868, 0.8886465
 1.6417354,328.0929844, 0.8545340
 1.6517460,328.2484141, 0.7851723
 1.6617566,304.2787476, 0.6947486
 1.6717672,271.2608512, 0.6332069
 1.6817778,239.3537615, 0.3789847
 1.6917884,219.7676607, 0.5190725
 1.7017989,219.1864807, 0.6919612
 1.7118095,218.6962281, 0.8717415
 1.7218201,218.4980030, 0.8834806
 1.7318307,218.8446446, 0.8854445
 1.7418413,219.6796793, 0.8931088
 1.7518519,219.5976290, 0.8661433
 1.7618624,219.3054038, 0.7835949
 1.7718730,219.3055291, 0.7363672
 1.7818836,219.0612303, 0.8458185
 1.7918942,219.0738183, 0.8781994
 1.8019048,219.1157651, 0.8866987
 1.8119153,219.2534369, 0.8920146
 1.8219259,219.2086092, 0.8953250
 1.8319365,232.5941745, 0.8947661
 1.8419471,276.4408099, 0.5508182
 1.8519577,302.0853318, 0.3602974
 1.8619683,328.6847775, 0.6231176
 1.8719788,328.4283105, 0.8310819
 1.8819894,328.1807429, 0.9188007
 1.8920000,327.9531481, 0.9487615
 1.9020106,327.7920133, 0.9540852
 1.9120212,327.7951386, 0.9517702
 1.9220317,327.8842746, 0.9474003
 1.9320423,327.8331542, 0.9430004
 1.9420529,328.0285716, 0.9366153
 1.9520635,328.2835452, 0.9223077
 1.9620741,328.8138410, 0.9115483
 1.9720847,329.0628007, 0.8751343
 1.9820952,329.5477565, 0.8325799
 1.9921058,328.7041458, 0.7336274
 2.0021164,329.6773327, 0.5539508
 2.0121270,361.5462205, 0.2879791
 2.0221376,361.6489828, 0.5757536
 2.0321481,363.1879449, 0.4210364
 2.0421587,360.5752746, 0.2618907
 2.0521693,330.7859041, 0.3796608
 2.0621799,329.0307374, 0.5402585
 2.0721905,329.3535345, 0.5955388
 2.0822011,329.8120789, 0.7851229
 2.0922116,328.6778546, 0.8585665
 2.1022222,328.2436684, 0.9107217
 2.1122328,328.9671365, 0.9045727
 2.1222434,329.4350766, 0.9132278
 2.1322540,329.6569381, 0.8460574
 2.1422646,330.3925373, 0.6658101
 2.1522751,306.9997253, 0.5212336
 2.1622857,271.6145911, 0.6604737
 2.1722963,239.0952969, 0.6526874
 2.1823069,220.2814834, 0.6411251
 2.1923175,219.8395221, 0.7164758
 2.2023280,219.6888938, 0.7951316
 2.2123386,219.6775576, 0.8921634
 2.2223492,240.8490315, 0.9022548
 2.2323598,282.7476417, 0.9155000
 2.2423704,317.9851950, 0.8544217
 2.2523810,351.4392547, 0.7058613
 2.2623915,391.8155175, 0.5194638
 2.2724021,443.7228683, 0.5549052
 2.2824127,443.1574096, 0.7933078
 2.2924233,442.3077894, 0.9137790
 2.3024339,441.5860097, 0.8989860
