time,frequency,confidence
 0.0000000,50.5774715, 0.0259010
 0.0100106,50.5694276, 0.5125287
 0.0200212,50.1736405, 0.8018529
 0.0300317,50.0013972, 0.7922722
 0.0400423,49.9006004, 0.8573158
 0.0500529,50.1174347, 0.7622715
 0.0600635,50.2363062, 0.8110979
 0.0700741,50.2807487, 0.8102890
 0.0800847,50.0171000, 0.8592141
 0.0900952,50.1367243, 0.8401433
 0.1001058,50.1160053, 0.8475537
 0.1101164,50.3635330, 0.8641509
 0.1201270,50.1713169, 0.8762255
 0.1301376,50.0397001, 0.8707619
 0.1401481,49.9645664, 0.8521991
 0.1501587,49.9193587, 0.8530779
 0.1601693,49.9120357, 0.8735481
 0.1701799,50.1181156, 0.8269122
 0.1801905,50.1405171, 0.8074582
 0.1902011,50.1562214, 0.8246112
 0.2002116,50.1260401, 0.8529823
 0.2102222,50.0921638, 0.8422520
 0.2202328,50.2063036, 0.8410075
 0.2302434,50.2230738, 0.8610225
 0.2402540,50.0846049, 0.8517969
 0.2502646,49.9992771, 0.7553594
 0.2602751,50.0127255, 0.8108363
 0.2702857,49.9703431, 0.8539059
 0.2802963,49.9598452, 0.8642778
 0.2903069,49.9792972, 0.8241705
 0.3003175,49.9729745, 0.8354095
 0.3103280,50.1771319, 0.7923155
 0.3203386,50.3223912, 0.8655841
 0.3303492,50.3953653, 0.8629571
 0.3403598,50.3255303, 0.8476462
 0.3503704,50.2117237, 0.8386704
 0.3603810,50.0239709, 0.8550736
 0.3703915,49.9619496, 0.8495811
 0.3804021,50.0088971, 0.8540807
 0.3904127,50.1795288, 0.8478218
 0.4004233,50.2562122, 0.8635765
 0.4104339,50.2014021, 0.8583388
 0.4204444,50.1521744, 0.8571423
 0.4304550,50.1423746, 0.8065899
 0.4404656,50.2321509, 0.8321970
 0.4504762,50.2254183, 0.7914523
 0.4604868,50.2433722, 0.8310049
 0.4704974,50.1793106, 0.7577739
 0.4805079,50.0642754, 0.8589839
 0.4905185,50.0860222, 0.8351596
 0.5005291,50.1347162, 0.8728576
 0.5105397,50.0948723, 0.8347276
 0.5205503,50.1037845, 0.8359485
 0.5305608,50.1160329, 0.7565152
 0.5405714,50.0739852, 0.8187518
 0.5505820,50.2672513, 0.7622981
 0.5605926,50.4031978, 0.8307475
 0.5706032,55.5219106, 0.7964263
 0.5806138,62.2574885, 0.8459954
 0.5906243,71.6105543, 0.8374932
 0.6006349,81.0137595, 0.8596776
 0.6106455,92.9485730, 0.8653973
 0.6206561,99.8366381, 0.8733293
 0.6306667,116.5192170, 0.8327312
 0.6406772,125.8880640, 0.8607500
 0.6506878,147.2297050, 0.8341749
 0.6606984,158.0856034, 0.8706480
 0.6707090,177.5247111, 0.8354832
 0.6807196,201.0458044, 0.8318139
 0.6907302,236.4476881, 0.7474467
 0.7007407,250.3832387, 0.5056018
 0.7107513,293.0975698, 0.1724562
 0.7207619,325.7230464, 0.7146997
