time,frequency,confidence
 0.0000000,50.5044917, 0.0228350
 0.0100106,50.4013165, 0.2207984
 0.0200212,50.2813154, 0.7962202
 0.0300317,50.2194706, 0.8008559
 0.0400423,49.8482426, 0.7652190
 0.0500529,49.5919910, 0.5825883
 0.0600635,49.5324295, 0.7659087
 0.0700741,49.8438595, 0.8038276
 0.0800847,49.9557069, 0.8652151
 0.0900952,50.3067427, 0.8030113
 0.1001058,50.1308557, 0.7850385
 0.1101164,50.3377529, 0.8001702
 0.1201270,50.3127897, 0.8205482
 0.1301376,50.1910461, 0.6247255
 0.1401481,50.0518504, 0.7290990
 0.1501587,49.9166446, 0.7588416
 0.1601693,49.9393465, 0.8352975
 0.1701799,50.1588656, 0.8439552
 0.1801905,50.2905399, 0.8263643
 0.1902011,50.3598390, 0.7956809
 0.2002116,50.1880469, 0.8028377
 0.2102222,50.1408513, 0.7761310
 0.2202328,50.1292742, 0.7471399
 0.2302434,50.2156962, 0.7981853
 0.2402540,50.2666198, 0.8261549
 0.2502646,50.2636969, 0.7845412
 0.2602751,49.9793993, 0.7797843
 0.2702857,49.9177344, 0.7597100
 0.2802963,49.8563207, 0.8285278
 0.2903069,49.7870726, 0.8416528
 0.3003175,49.8824908, 0.8323511
 0.3103280,49.9821829, 0.8538990
 0.3203386,50.2532190, 0.8450870
 0.3303492,50.7644310, 0.7953434
 0.3403598,50.4751609, 0.7174250
 0.3503704,50.2774669, 0.6326333
 0.3603810,50.0393181, 0.7374672
 0.3703915,49.8258254, 0.7455441
 0.3804021,49.9072797, 0.8268278
 0.3904127,49.7306641, 0.7870169
 0.4004233,49.8512778, 0.6989835
 0.4104339,50.2443069, 0.7414433
 0.4204444,50.4879980, 0.8387134
 0.4304550,50.3043717, 0.8554493
 0.4404656,50.0948393, 0.8388663
 0.4504762,49.8947553, 0.8237970
 0.4604868,50.2143767, 0.7332075
 0.4704974,50.3642706, 0.6744779
 0.4805079,50.4197268, 0.6369683
 0.4905185,50.4542104, 0.5940719
 0.5005291,50.2007105, 0.7735482
 0.5105397,49.8586208, 0.8291731
 0.5205503,50.0026878, 0.8232542
 0.5305608,49.9952820, 0.8580242
 0.5405714,50.0797592, 0.8249525
 0.5505820,50.2615568, 0.7900658
 0.5605926,50.0684914, 0.8340506
 0.5706032,50.0097370, 0.7997478
 0.5806138,50.1530801, 0.7861260
 0.5906243,50.1724745, 0.7180496
 0.6006349,50.0746792, 0.6414658
 0.6106455,50.0438277, 0.5160978
 0.6206561,50.2591518, 0.7068777
 0.6306667,55.7326109, 0.7010583
 0.6406772,63.2563905, 0.7672731
 0.6506878,71.4892418, 0.7614493
 0.6606984,82.2927645, 0.8226624
 0.6707090,95.1719542, 0.8196092
 0.6807196,100.4017145, 0.8018124
 0.6907302,118.4669215, 0.6979424
 0.7007407,127.8890782, 0.2350868
 0.7107513,146.8411559, 0.0386238
 0.7207619,163.2026211, 0.4040487
 0.7307725,181.8030935, 0.6827677
 0.7407831,208.6558060, 0.7331345
 0.7507937,238.2365450, 0.7769718
 0.7608042,261.3408969, 0.7484729
 0.7708148,296.9479620, 0.8193756
 0.7808254,327.4010434, 0.8493785
 0.7908360,362.9087466, 0.6864062
 0.8008466,410.2230029, 0.3335751
 0.8108571,470.1006862, 0.3705970
 0.8208677,520.0144548, 0.6578442
 0.8308783,576.0367049, 0.8077141
 0.8408889,675.6447033, 0.8683838
 0.8508995,735.3344231, 0.8903197
 0.8609101,736.5046321, 0.9017643
 0.8709206,737.0370273, 0.9029369
 0.8809312,737.7194512, 0.8946072
 0.8909418,738.4274248, 0.8941772
 0.9009524,739.2031570, 0.9161829
 0.9109630,739.4111855, 0.9125177
 0.9209735,739.2153338, 0.9040873
 0.9309841,739.4432704, 0.9046808
 0.9409947,739.7724149, 0.9125446
 0.9510053,739.3579078, 0.9168747
 0.9610159,739.0640120, 0.9249471
