time,frequency,confidence
 0.0000000,50.6546666, 0.0638142
 0.0100106,50.4872760, 0.6039757
 0.0200212,50.1741602, 0.8385912
 0.0300317,50.1552098, 0.7349993
 0.0400423,50.1066185, 0.8194689
 0.0500529,50.2445076, 0.7687265
 0.0600635,50.1118852, 0.8322662
 0.0700741,50.2293757, 0.7442231
 0.0800847,50.0240742, 0.7900608
 0.0900952,50.1464541, 0.6572229
 0.1001058,50.0131980, 0.7724391
 0.1101164,50.1513536, 0.7134722
 0.1201270,50.0507032, 0.8242217
 0.1301376,50.1425560, 0.7144613
 0.1401481,50.0497511, 0.8136460
 0.1501587,50.1025027, 0.7746755
 0.1601693,50.0755897, 0.8064101
 0.1701799,50.1279842, 0.7046706
 0.1801905,50.1136672, 0.8212578
 0.1902011,50.1919704, 0.7779793
 0.2002116,50.1831390, 0.8234881
 0.2102222,50.1858498, 0.7431895
 0.2202328,50.0729444, 0.8059991
 0.2302434,50.1167337, 0.7330086
 0.2402540,50.0862384, 0.8392201
 0.2502646,50.1477118, 0.7563496
 0.2602751,50.0324746, 0.8469653
 0.2702857,50.1007003, 0.7307323
 0.2802963,50.0197167, 0.8483800
 0.2903069,50.1020037, 0.7562782
 0.3003175,50.1258898, 0.8359028
 0.3103280,50.2183527, 0.7434261
 0.3203386,50.1870313, 0.8313564
 0.3303492,50.1928235, 0.8028921
 0.3403598,50.1854847, 0.8437918
 0.3503704,50.2326709, 0.8224978
 0.3603810,50.2124512, 0.8360877
 0.3703915,50.2174841, 0.7829370
 0.3804021,50.0961706, 0.8281262
 0.3904127,50.1370174, 0.6766846
 0.4004233,50.1499664, 0.8164512
 0.4104339,50.1942295, 0.7482284
 0.4204444,50.2157946, 0.8330041
 0.4304550,50.2003741, 0.7979742
 0.4404656,50.2437509, 0.8337069
 0.4504762,50.2334666, 0.7738406
 0.4604868,50.1793009, 0.8028339
 0.4704974,50.0904984, 0.7021280
 0.4805079,50.0857196, 0.8004039
 0.4905185,50.1222906, 0.6718147
 0.5005291,50.1401135, 0.8224847
 0.5105397,50.1896973, 0.7234792
 0.5205503,50.1444467, 0.8347412
 0.5305608,50.2349908, 0.7378078
 0.5405714,50.1257641, 0.8160319
 0.5505820,50.2060416, 0.7981734
 0.5605926,50.1449781, 0.8179904
 0.5706032,55.5531243, 0.7515513
 0.5806138,62.3124964, 0.8265605
 0.5906243,71.4323358, 0.8092154
 0.6006349,81.4611096, 0.8299718
 0.6106455,92.4175801, 0.7975005
 0.6206561,100.1274331, 0.8250124
 0.6306667,117.0651068, 0.7577275
