time,frequency,confidence
 0.0000000,50.8864709, 0.2748126
 0.0100106,50.5595967, 0.5979245
 0.0200212,50.2739934, 0.8041244
 0.0300317,50.1712862, 0.6573222
 0.0400423,50.0132478, 0.7617580
 0.0500529,50.1598104, 0.6633045
 0.0600635,49.9895351, 0.7981803
 0.0700741,50.0933147, 0.7359017
 0.0800847,49.9743936, 0.7847102
 0.0900952,50.1605048, 0.7543888
 0.1001058,50.1716726, 0.8338018
 0.1101164,50.1738831, 0.8176585
 0.1201270,50.0505983, 0.8064718
 0.1301376,50.0803597, 0.8006319
 0.1401481,50.0914377, 0.8230542
 0.1501587,50.0836856, 0.7447872
 0.1601693,50.0997769, 0.7783935
 0.1701799,50.0336524, 0.7594281
 0.1801905,50.0451200, 0.7807387
 0.1902011,50.0462658, 0.7229005
 0.2002116,50.2103078, 0.8112380
 0.2102222,50.2796491, 0.7788557
 0.2202328,50.1665424, 0.8329659
 0.2302434,50.1216916, 0.7875184
 0.2402540,49.9920481, 0.8538385
 0.2502646,50.0520162, 0.7494230
 0.2602751,50.0109125, 0.7744339
 0.2702857,50.1727045, 0.5381228
 0.2802963,50.1466383, 0.7940211
 0.2903069,50.2134175, 0.7003050
 0.3003175,50.0669653, 0.8381676
 0.3103280,50.0917452, 0.7803714
 0.3203386,50.0847620, 0.8351849
 0.3303492,50.1765934, 0.7936121
 0.3403598,50.2208387, 0.8477848
 0.3503704,50.2178991, 0.7958677
 0.3603810,50.1645869, 0.8440924
 0.3703915,50.0989923, 0.7049476
 0.3804021,50.0952632, 0.8139504
 0.3904127,50.0594184, 0.7858250
 0.4004233,50.0968805, 0.8188435
 0.4104339,50.0450577, 0.7766661
 0.4204444,50.0834116, 0.8363153
 0.4304550,50.0992689, 0.8072510
 0.4404656,50.1514110, 0.8395920
 0.4504762,50.2393644, 0.7710891
 0.4604868,50.2379324, 0.7765411
 0.4704974,50.2635389, 0.6155010
 0.4805079,50.1551728, 0.8052627
 0.4905185,49.9961013, 0.7319865
 0.5005291,49.9977333, 0.8615360
 0.5105397,50.0536179, 0.6488983
 0.5205503,49.9895934, 0.7847655
 0.5305608,50.1894999, 0.6305770
 0.5405714,50.0349232, 0.8148813
 0.5505820,50.0686841, 0.7174360
 0.5605926,50.0492054, 0.7890599
 0.5706032,50.0938666, 0.7128142
 0.5806138,50.0113629, 0.7905470
 0.5906243,50.0034937, 0.7679905
 0.6006349,50.0301366, 0.7658403
 0.6106455,50.0129316, 0.7106966
 0.6206561,50.1432120, 0.8160023
 0.6306667,50.0812616, 0.7516884
 0.6406772,50.1423137, 0.8150672
 0.6506878,50.1302824, 0.7733895
 0.6606984,50.2702017, 0.8215616
 0.6707090,50.1063578, 0.7438033
 0.6807196,50.2107432, 0.8324908
 0.6907302,50.1035426, 0.7779354
 0.7007407,50.0875283, 0.7999242
 0.7107513,49.9220368, 0.7872332
 0.7207619,50.2261510, 0.4886674
 0.7307725,54.3527875, 0.4031051
 0.7407831,59.8753244, 0.6449841
 0.7507937,66.9071619, 0.7078574
 0.7608042,74.0981297, 0.6874747
 0.7708148,83.5892859, 0.5612096
 0.7808254,95.2009902, 0.2272889
 0.7908360,103.0650290, 0.1685975
 0.8008466,115.3088855, 0.2251243
 0.8108571,123.9198408, 0.2131606
 0.8208677,142.5881182, 0.5513616
 0.8308783,156.2097138, 0.8121619
 0.8408889,176.5523131, 0.7896866
